Data Table for Daily Death Trends - Montana
Date generated: Mon Jul 25 2022 09:26:49 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Montana,Jul 21 2022,0,0
Montana,Jul 20 2022,0,0
Montana,Jul 19 2022,0,0
Montana,Jul 18 2022,0,0
Montana,Jul 17 2022,0,0
Montana,Jul 16 2022,0,0
Montana,Jul 15 2022,5,0
Montana,Jul 14 2022,0,0
Montana,Jul 13 2022,0,0
Montana,Jul 12 2022,0,0
Montana,Jul 11 2022,0,0
Montana,Jul 10 2022,0,0
Montana,Jul  9 2022,0,0
Montana,Jul  8 2022,5,0
Montana,Jul  7 2022,0,0
Montana,Jul  6 2022,0,0
Montana,Jul  5 2022,0,0
Montana,Jul  4 2022,0,0
Montana,Jul  3 2022,0,0
Montana,Jul  2 2022,0,0
Montana,Jul  1 2022,1,0
Montana,Jun 30 2022,0,0
Montana,Jun 29 2022,0,0
Montana,Jun 28 2022,0,0
Montana,Jun 27 2022,0,0
Montana,Jun 26 2022,0,0
Montana,Jun 25 2022,0,0
Montana,Jun 24 2022,4,0
Montana,Jun 23 2022,0,0
Montana,Jun 22 2022,0,0
Montana,Jun 21 2022,0,0
Montana,Jun 20 2022,0,0
Montana,Jun 19 2022,0,0
Montana,Jun 18 2022,0,0
Montana,Jun 17 2022,6,0
Montana,Jun 16 2022,0,1
Montana,Jun 15 2022,0,1
Montana,Jun 14 2022,0,1
Montana,Jun 13 2022,0,1
Montana,Jun 12 2022,0,1
Montana,Jun 11 2022,0,1
Montana,Jun 10 2022,11,1
Montana,Jun  9 2022,0,3
Montana,Jun  8 2022,0,3
Montana,Jun  7 2022,0,3
Montana,Jun  6 2022,0,3
Montana,Jun  5 2022,0,3
Montana,Jun  4 2022,0,3
Montana,Jun  3 2022,23,3
Montana,Jun  2 2022,0,2
Montana,Jun  1 2022,0,2
Montana,May 31 2022,0,2
Montana,May 30 2022,0,2
Montana,May 29 2022,0,2
Montana,May 28 2022,0,2
Montana,May 27 2022,15,2
Montana,May 26 2022,0,0
Montana,May 25 2022,0,0
Montana,May 24 2022,0,0
Montana,May 23 2022,0,0
Montana,May 22 2022,0,0
Montana,May 21 2022,0,0
Montana,May 20 2022,4,0
Montana,May 19 2022,0,0
Montana,May 18 2022,0,0
Montana,May 17 2022,0,0
Montana,May 16 2022,0,0
Montana,May 15 2022,0,0
Montana,May 14 2022,0,0
Montana,May 13 2022,3,0
