Data Table for Daily Death Trends - Nevada
Date generated: Mon Jul 25 2022 09:27:08 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Nevada,Jul 21 2022,11,7
Nevada,Jul 20 2022,9,6
Nevada,Jul 19 2022,6,6
Nevada,Jul 18 2022,10,6
Nevada,Jul 17 2022,0,6
Nevada,Jul 16 2022,0,6
Nevada,Jul 15 2022,13,6
Nevada,Jul 14 2022,10,4
Nevada,Jul 13 2022,6,9
Nevada,Jul 12 2022,8,9
Nevada,Jul 11 2022,5,9
Nevada,Jul 10 2022,0,8
Nevada,Jul  9 2022,0,8
Nevada,Jul  8 2022,5,8
Nevada,Jul  7 2022,43,9
Nevada,Jul  6 2022,6,5
Nevada,Jul  5 2022,8,5
Nevada,Jul  4 2022,0,4
Nevada,Jul  3 2022,0,5
Nevada,Jul  2 2022,0,5
Nevada,Jul  1 2022,9,5
Nevada,Jun 30 2022,12,4
Nevada,Jun 29 2022,8,4
Nevada,Jun 28 2022,5,4
Nevada,Jun 27 2022,6,5
Nevada,Jun 26 2022,0,5
Nevada,Jun 25 2022,0,5
Nevada,Jun 24 2022,3,5
Nevada,Jun 23 2022,11,6
Nevada,Jun 22 2022,4,5
Nevada,Jun 21 2022,12,6
Nevada,Jun 20 2022,8,5
Nevada,Jun 19 2022,0,5
Nevada,Jun 18 2022,0,5
Nevada,Jun 17 2022,11,5
Nevada,Jun 16 2022,4,4
Nevada,Jun 15 2022,13,4
Nevada,Jun 14 2022,5,4
Nevada,Jun 13 2022,5,5
Nevada,Jun 12 2022,0,5
Nevada,Jun 11 2022,0,5
Nevada,Jun 10 2022,4,5
Nevada,Jun  9 2022,5,4
Nevada,Jun  8 2022,12,5
Nevada,Jun  7 2022,14,4
Nevada,Jun  6 2022,0,3
Nevada,Jun  5 2022,0,3
Nevada,Jun  4 2022,0,3
Nevada,Jun  3 2022,3,3
Nevada,Jun  2 2022,10,4
Nevada,Jun  1 2022,1,3
Nevada,May 31 2022,12,6
Nevada,May 30 2022,0,5
Nevada,May 29 2022,0,7
Nevada,May 28 2022,0,7
Nevada,May 27 2022,11,7
Nevada,May 26 2022,0,6
Nevada,May 25 2022,20,6
Nevada,May 24 2022,10,4
Nevada,May 23 2022,13,4
Nevada,May 22 2022,0,3
Nevada,May 21 2022,0,3
Nevada,May 20 2022,5,3
Nevada,May 19 2022,0,3
Nevada,May 18 2022,5,3
Nevada,May 17 2022,5,4
Nevada,May 16 2022,12,3
Nevada,May 15 2022,0,2
Nevada,May 14 2022,0,2
Nevada,May 13 2022,0,2
Nevada,May 12 2022,4,2
Nevada,May 11 2022,7,2
Nevada,May 10 2022,3,1
Nevada,May  9 2022,1,1
Nevada,May  8 2022,0,1
Nevada,May  7 2022,0,1
Nevada,May  6 2022,1,1
Nevada,May  5 2022,6,1
Nevada,May  4 2022,0,4
Nevada,May  3 2022,3,4
Nevada,May  2 2022,3,7
Nevada,May  1 2022,0,6
Nevada,Apr 30 2022,0,6
Nevada,Apr 29 2022,0,6
Nevada,Apr 28 2022,23,6
Nevada,Apr 27 2022,3,16
Nevada,Apr 26 2022,21,16
Nevada,Apr 25 2022,0,13
Nevada,Apr 24 2022,0,16
Nevada,Apr 23 2022,0,16
Nevada,Apr 22 2022,1,16
Nevada,Apr 21 2022,92,16
Nevada,Apr 20 2022,3,6
Nevada,Apr 19 2022,1,7
Nevada,Apr 18 2022,17,8
Nevada,Apr 17 2022,0,8
Nevada,Apr 16 2022,0,8
Nevada,Apr 15 2022,5,8
Nevada,Apr 14 2022,22,9
Nevada,Apr 13 2022,6,9
Nevada,Apr 12 2022,8,8
Nevada,Apr 11 2022,21,7
Nevada,Apr 10 2022,0,5
Nevada,Apr  9 2022,0,5
Nevada,Apr  8 2022,10,5
Nevada,Apr  7 2022,18,7
Nevada,Apr  6 2022,5,6
Nevada,Apr  5 2022,1,10
Nevada,Apr  4 2022,7,10
Nevada,Apr  3 2022,0,10
Nevada,Apr  2 2022,0,10
Nevada,Apr  1 2022,18,10
Nevada,Mar 31 2022,16,9
Nevada,Mar 30 2022,33,8
Nevada,Mar 29 2022,2,5
Nevada,Mar 28 2022,3,5
Nevada,Mar 27 2022,0,9
Nevada,Mar 26 2022,0,9
Nevada,Mar 25 2022,10,9
Nevada,Mar 24 2022,12,13
Nevada,Mar 23 2022,13,11
Nevada,Mar 22 2022,2,12
Nevada,Mar 21 2022,28,11
Nevada,Mar 20 2022,0,9
Nevada,Mar 19 2022,0,9
Nevada,Mar 18 2022,39,9
Nevada,Mar 17 2022,0,7
Nevada,Mar 16 2022,16,10
Nevada,Mar 15 2022,0,12
Nevada,Mar 14 2022,11,16
Nevada,Mar 13 2022,0,21
Nevada,Mar 12 2022,0,21
Nevada,Mar 11 2022,27,21
Nevada,Mar 10 2022,20,17
Nevada,Mar  9 2022,31,17
Nevada,Mar  8 2022,24,18
Nevada,Mar  7 2022,46,16
Nevada,Mar  6 2022,0,15
Nevada,Mar  5 2022,0,15
Nevada,Mar  4 2022,0,15
Nevada,Mar  3 2022,21,23
Nevada,Mar  2 2022,37,25
Nevada,Mar  1 2022,12,23
Nevada,Feb 28 2022,40,28
Nevada,Feb 27 2022,0,22
Nevada,Feb 26 2022,0,22
Nevada,Feb 25 2022,51,22
Nevada,Feb 24 2022,38,17
Nevada,Feb 23 2022,21,18
Nevada,Feb 22 2022,46,19
Nevada,Feb 21 2022,0,20
Nevada,Feb 20 2022,0,24
Nevada,Feb 19 2022,0,24
Nevada,Feb 18 2022,19,24
Nevada,Feb 17 2022,43,25
Nevada,Feb 16 2022,25,25
Nevada,Feb 15 2022,59,26
Nevada,Feb 14 2022,27,25
Nevada,Feb 13 2022,0,27
Nevada,Feb 12 2022,0,27
Nevada,Feb 11 2022,24,27
Nevada,Feb 10 2022,41,32
Nevada,Feb  9 2022,34,31
Nevada,Feb  8 2022,50,32
Nevada,Feb  7 2022,42,33
Nevada,Feb  6 2022,0,32
Nevada,Feb  5 2022,0,32
Nevada,Feb  4 2022,60,32
Nevada,Feb  3 2022,34,29
Nevada,Feb  2 2022,38,30
Nevada,Feb  1 2022,61,30
Nevada,Jan 31 2022,37,27
Nevada,Jan 30 2022,0,25
Nevada,Jan 29 2022,0,25
Nevada,Jan 28 2022,39,25
Nevada,Jan 27 2022,38,23
Nevada,Jan 26 2022,40,21
Nevada,Jan 25 2022,37,20
Nevada,Jan 24 2022,24,19
Nevada,Jan 23 2022,0,15
Nevada,Jan 22 2022,0,15
Nevada,Jan 21 2022,27,15
Nevada,Jan 20 2022,21,14
Nevada,Jan 19 2022,34,14
Nevada,Jan 18 2022,27,13
Nevada,Jan 17 2022,0,14
Nevada,Jan 16 2022,0,16
Nevada,Jan 15 2022,0,16
Nevada,Jan 14 2022,21,16
Nevada,Jan 13 2022,22,14
Nevada,Jan 12 2022,23,13
Nevada,Jan 11 2022,33,13
Nevada,Jan 10 2022,18,14
Nevada,Jan  9 2022,0,12
Nevada,Jan  8 2022,0,12
Nevada,Jan  7 2022,4,12
Nevada,Jan  6 2022,18,12
Nevada,Jan  5 2022,20,11
Nevada,Jan  4 2022,40,10
Nevada,Jan  3 2022,8,8
Nevada,Jan  2 2022,0,8
Nevada,Jan  1 2022,0,8
Nevada,Dec 31 2021,0,8
Nevada,Dec 30 2021,13,8
Nevada,Dec 29 2021,15,7
Nevada,Dec 28 2021,25,7
Nevada,Dec 27 2021,3,8
Nevada,Dec 26 2021,0,12
Nevada,Dec 25 2021,0,12
Nevada,Dec 24 2021,0,12
Nevada,Dec 23 2021,10,14
Nevada,Dec 22 2021,15,15
Nevada,Dec 21 2021,28,16
Nevada,Dec 20 2021,33,15
Nevada,Dec 19 2021,0,12
Nevada,Dec 18 2021,0,12
Nevada,Dec 17 2021,15,12
Nevada,Dec 16 2021,19,15
Nevada,Dec 15 2021,17,14
Nevada,Dec 14 2021,26,14
Nevada,Dec 13 2021,12,13
Nevada,Dec 12 2021,0,17
Nevada,Dec 11 2021,0,17
Nevada,Dec 10 2021,36,17
Nevada,Dec  9 2021,7,14
Nevada,Dec  8 2021,20,16
Nevada,Dec  7 2021,16,15
Nevada,Dec  6 2021,40,17
Nevada,Dec  5 2021,0,14
Nevada,Dec  4 2021,0,14
Nevada,Dec  3 2021,20,14
Nevada,Dec  2 2021,18,11
Nevada,Dec  1 2021,15,8
Nevada,Nov 30 2021,32,9
Nevada,Nov 29 2021,13,7
Nevada,Nov 28 2021,0,7
Nevada,Nov 27 2021,0,7
Nevada,Nov 26 2021,0,7
Nevada,Nov 25 2021,0,10
Nevada,Nov 24 2021,19,12
Nevada,Nov 23 2021,23,11
