Data Table for Daily Death Trends - New Hampshire
Date generated: Mon Jul 25 2022 09:27:16 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
New Hampshire,Jul 21 2022,3,1
New Hampshire,Jul 20 2022,1,1
New Hampshire,Jul 19 2022,4,1
New Hampshire,Jul 18 2022,1,0
New Hampshire,Jul 17 2022,0,1
New Hampshire,Jul 16 2022,0,1
New Hampshire,Jul 15 2022,0,1
New Hampshire,Jul 14 2022,5,1
New Hampshire,Jul 13 2022,0,1
New Hampshire,Jul 12 2022,0,2
New Hampshire,Jul 11 2022,2,2
New Hampshire,Jul 10 2022,0,2
New Hampshire,Jul  9 2022,0,2
New Hampshire,Jul  8 2022,5,2
New Hampshire,Jul  7 2022,3,1
New Hampshire,Jul  6 2022,5,1
New Hampshire,Jul  5 2022,3,1
New Hampshire,Jul  4 2022,0,1
New Hampshire,Jul  3 2022,0,1
New Hampshire,Jul  2 2022,0,1
New Hampshire,Jul  1 2022,1,1
New Hampshire,Jun 30 2022,3,1
New Hampshire,Jun 29 2022,3,1
New Hampshire,Jun 28 2022,3,1
New Hampshire,Jun 27 2022,2,0
New Hampshire,Jun 26 2022,0,0
New Hampshire,Jun 25 2022,0,0
New Hampshire,Jun 24 2022,2,0
New Hampshire,Jun 23 2022,0,0
New Hampshire,Jun 22 2022,0,1
New Hampshire,Jun 21 2022,2,1
New Hampshire,Jun 20 2022,0,0
New Hampshire,Jun 19 2022,0,1
New Hampshire,Jun 18 2022,0,1
New Hampshire,Jun 17 2022,2,1
New Hampshire,Jun 16 2022,3,1
New Hampshire,Jun 15 2022,1,1
New Hampshire,Jun 14 2022,0,1
New Hampshire,Jun 13 2022,2,2
New Hampshire,Jun 12 2022,0,2
New Hampshire,Jun 11 2022,0,2
New Hampshire,Jun 10 2022,7,2
New Hampshire,Jun  9 2022,0,1
New Hampshire,Jun  8 2022,0,2
New Hampshire,Jun  7 2022,8,2
New Hampshire,Jun  6 2022,4,1
New Hampshire,Jun  5 2022,0,1
New Hampshire,Jun  4 2022,0,1
New Hampshire,Jun  3 2022,1,1
New Hampshire,Jun  2 2022,3,1
New Hampshire,Jun  1 2022,2,1
New Hampshire,May 31 2022,3,1
New Hampshire,May 30 2022,0,1
New Hampshire,May 29 2022,0,2
New Hampshire,May 28 2022,0,2
New Hampshire,May 27 2022,3,2
New Hampshire,May 26 2022,3,2
New Hampshire,May 25 2022,2,1
New Hampshire,May 24 2022,2,1
New Hampshire,May 23 2022,4,3
New Hampshire,May 22 2022,0,2
New Hampshire,May 21 2022,0,2
New Hampshire,May 20 2022,5,2
New Hampshire,May 19 2022,0,2
New Hampshire,May 18 2022,2,3
New Hampshire,May 17 2022,13,3
New Hampshire,May 16 2022,0,1
New Hampshire,May 15 2022,0,1
New Hampshire,May 14 2022,0,1
New Hampshire,May 13 2022,1,1
New Hampshire,May 12 2022,6,1
New Hampshire,May 11 2022,1,0
New Hampshire,May 10 2022,4,0
New Hampshire,May  9 2022,1,1
New Hampshire,May  8 2022,0,1
New Hampshire,May  7 2022,0,1
New Hampshire,May  6 2022,0,1
New Hampshire,May  5 2022,0,1
New Hampshire,May  4 2022,1,1
New Hampshire,May  3 2022,5,1
New Hampshire,May  2 2022,1,0
New Hampshire,May  1 2022,0,0
New Hampshire,Apr 30 2022,0,0
New Hampshire,Apr 29 2022,1,0
New Hampshire,Apr 28 2022,1,1
New Hampshire,Apr 27 2022,1,0
New Hampshire,Apr 26 2022,2,0
New Hampshire,Apr 25 2022,0,1
