Data Table for Daily Death Trends - New Mexico
Date generated: Mon Jul 25 2022 09:27:34 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
New Mexico,Jul 21 2022,34,19
New Mexico,Jul 20 2022,22,18
New Mexico,Jul 19 2022,37,18
New Mexico,Jul 18 2022,23,15
New Mexico,Jul 17 2022,0,13
New Mexico,Jul 16 2022,0,13
New Mexico,Jul 15 2022,21,13
New Mexico,Jul 14 2022,29,10
New Mexico,Jul 13 2022,16,7
New Mexico,Jul 12 2022,18,5
New Mexico,Jul 11 2022,9,3
New Mexico,Jul 10 2022,0,2
New Mexico,Jul  9 2022,0,2
New Mexico,Jul  8 2022,3,2
New Mexico,Jul  7 2022,3,2
New Mexico,Jul  6 2022,7,4
New Mexico,Jul  5 2022,4,3
New Mexico,Jul  4 2022,0,5
New Mexico,Jul  3 2022,0,5
New Mexico,Jul  2 2022,0,5
New Mexico,Jul  1 2022,5,5
New Mexico,Jun 30 2022,13,6
New Mexico,Jun 29 2022,4,5
New Mexico,Jun 28 2022,13,5
New Mexico,Jun 27 2022,6,4
New Mexico,Jun 26 2022,0,3
New Mexico,Jun 25 2022,0,3
New Mexico,Jun 24 2022,6,3
New Mexico,Jun 23 2022,8,3
New Mexico,Jun 22 2022,8,3
New Mexico,Jun 21 2022,0,2
New Mexico,Jun 20 2022,0,2
New Mexico,Jun 19 2022,0,3
New Mexico,Jun 18 2022,0,3
New Mexico,Jun 17 2022,11,3
New Mexico,Jun 16 2022,3,2
New Mexico,Jun 15 2022,4,2
New Mexico,Jun 14 2022,2,4
New Mexico,Jun 13 2022,2,4
New Mexico,Jun 12 2022,0,6
New Mexico,Jun 11 2022,0,6
New Mexico,Jun 10 2022,7,6
New Mexico,Jun  9 2022,4,9
New Mexico,Jun  8 2022,13,9
New Mexico,Jun  7 2022,5,8
New Mexico,Jun  6 2022,19,9
New Mexico,Jun  5 2022,0,6
New Mexico,Jun  4 2022,0,6
New Mexico,Jun  3 2022,22,6
New Mexico,Jun  2 2022,6,6
New Mexico,Jun  1 2022,6,9
New Mexico,May 31 2022,13,13
New Mexico,May 30 2022,0,13
New Mexico,May 29 2022,0,14
New Mexico,May 28 2022,0,14
New Mexico,May 27 2022,22,14
New Mexico,May 26 2022,24,13
New Mexico,May 25 2022,32,11
New Mexico,May 24 2022,16,8
New Mexico,May 23 2022,9,8
New Mexico,May 22 2022,0,9
New Mexico,May 21 2022,0,9
New Mexico,May 20 2022,11,9
New Mexico,May 19 2022,14,9
New Mexico,May 18 2022,12,8
New Mexico,May 17 2022,15,8
New Mexico,May 16 2022,16,7
New Mexico,May 15 2022,0,7
New Mexico,May 14 2022,0,7
New Mexico,May 13 2022,7,7
New Mexico,May 12 2022,6,7
New Mexico,May 11 2022,13,8
New Mexico,May 10 2022,13,7
New Mexico,May  9 2022,12,7
New Mexico,May  8 2022,0,8
New Mexico,May  7 2022,0,8
New Mexico,May  6 2022,9,8
New Mexico,May  5 2022,11,9
New Mexico,May  4 2022,8,10
New Mexico,May  3 2022,12,10
New Mexico,May  2 2022,17,10
New Mexico,May  1 2022,0,8
New Mexico,Apr 30 2022,0,8
New Mexico,Apr 29 2022,15,8
New Mexico,Apr 28 2022,19,6
New Mexico,Apr 27 2022,9,4
New Mexico,Apr 26 2022,11,4
New Mexico,Apr 25 2022,3,4
New Mexico,Apr 24 2022,0,4
New Mexico,Apr 23 2022,0,4
New Mexico,Apr 22 2022,6,4
New Mexico,Apr 21 2022,2,5
New Mexico,Apr 20 2022,7,6
New Mexico,Apr 19 2022,11,6
New Mexico,Apr 18 2022,6,6
New Mexico,Apr 17 2022,0,7
New Mexico,Apr 16 2022,0,7
New Mexico,Apr 15 2022,10,7
New Mexico,Apr 14 2022,10,7
New Mexico,Apr 13 2022,7,8
New Mexico,Apr 12 2022,9,9
New Mexico,Apr 11 2022,13,11
New Mexico,Apr 10 2022,0,11
New Mexico,Apr  9 2022,0,11
New Mexico,Apr  8 2022,10,11
New Mexico,Apr  7 2022,18,11
New Mexico,Apr  6 2022,18,11
New Mexico,Apr  5 2022,22,11
New Mexico,Apr  4 2022,14,10
New Mexico,Apr  3 2022,0,10
New Mexico,Apr  2 2022,0,10
New Mexico,Apr  1 2022,5,10
New Mexico,Mar 31 2022,19,11
New Mexico,Mar 30 2022,21,10
New Mexico,Mar 29 2022,15,9
New Mexico,Mar 28 2022,13,8
New Mexico,Mar 27 2022,0,8
New Mexico,Mar 26 2022,0,8
New Mexico,Mar 25 2022,9,8
New Mexico,Mar 24 2022,17,9
New Mexico,Mar 23 2022,9,9
New Mexico,Mar 22 2022,14,9
New Mexico,Mar 21 2022,12,11
New Mexico,Mar 20 2022,0,13
New Mexico,Mar 19 2022,0,13
New Mexico,Mar 18 2022,17,13
New Mexico,Mar 17 2022,12,12
New Mexico,Mar 16 2022,13,12
New Mexico,Mar 15 2022,25,13
New Mexico,Mar 14 2022,28,12
New Mexico,Mar 13 2022,0,11
New Mexico,Mar 12 2022,0,11
New Mexico,Mar 11 2022,10,11
New Mexico,Mar 10 2022,14,12
New Mexico,Mar  9 2022,16,12
New Mexico,Mar  8 2022,22,12
New Mexico,Mar  7 2022,16,9
New Mexico,Mar  6 2022,0,9
New Mexico,Mar  5 2022,0,9
New Mexico,Mar  4 2022,16,9
New Mexico,Mar  3 2022,17,11
New Mexico,Mar  2 2022,14,12
New Mexico,Mar  1 2022,6,14
New Mexico,Feb 28 2022,16,17
New Mexico,Feb 27 2022,0,18
New Mexico,Feb 26 2022,0,18
New Mexico,Feb 25 2022,30,18
New Mexico,Feb 24 2022,22,18
New Mexico,Feb 23 2022,30,17
New Mexico,Feb 22 2022,27,15
New Mexico,Feb 21 2022,19,15
New Mexico,Feb 20 2022,0,16
New Mexico,Feb 19 2022,0,16
New Mexico,Feb 18 2022,29,16
New Mexico,Feb 17 2022,17,16
New Mexico,Feb 16 2022,18,18
New Mexico,Feb 15 2022,27,21
New Mexico,Feb 14 2022,26,18
New Mexico,Feb 13 2022,0,17
New Mexico,Feb 12 2022,0,17
New Mexico,Feb 11 2022,29,17
New Mexico,Feb 10 2022,32,16
New Mexico,Feb  9 2022,36,15
New Mexico,Feb  8 2022,6,12
New Mexico,Feb  7 2022,20,14
New Mexico,Feb  6 2022,0,16
New Mexico,Feb  5 2022,0,16
New Mexico,Feb  4 2022,19,16
New Mexico,Feb  3 2022,28,17
New Mexico,Feb  2 2022,15,18
New Mexico,Feb  1 2022,19,22
New Mexico,Jan 31 2022,37,23
New Mexico,Jan 30 2022,0,22
New Mexico,Jan 29 2022,0,22
New Mexico,Jan 28 2022,26,22
New Mexico,Jan 27 2022,34,23
New Mexico,Jan 26 2022,40,21
New Mexico,Jan 25 2022,25,20
New Mexico,Jan 24 2022,33,21
New Mexico,Jan 23 2022,0,16
New Mexico,Jan 22 2022,0,16
New Mexico,Jan 21 2022,30,16
New Mexico,Jan 20 2022,24,17
New Mexico,Jan 19 2022,28,18
New Mexico,Jan 18 2022,32,18
New Mexico,Jan 17 2022,0,17
New Mexico,Jan 16 2022,0,23
New Mexico,Jan 15 2022,0,23
New Mexico,Jan 14 2022,36,23
New Mexico,Jan 13 2022,36,20
New Mexico,Jan 12 2022,28,20
New Mexico,Jan 11 2022,25,21
New Mexico,Jan 10 2022,37,22
New Mexico,Jan  9 2022,0,18
New Mexico,Jan  8 2022,0,18
New Mexico,Jan  7 2022,14,18
New Mexico,Jan  6 2022,36,16
New Mexico,Jan  5 2022,36,14
New Mexico,Jan  4 2022,31,14
New Mexico,Jan  3 2022,11,13
New Mexico,Jan  2 2022,0,15
New Mexico,Jan  1 2022,0,15
New Mexico,Dec 31 2021,0,15
New Mexico,Dec 30 2021,26,15
New Mexico,Dec 29 2021,33,18
New Mexico,Dec 28 2021,22,19
New Mexico,Dec 27 2021,29,22
New Mexico,Dec 26 2021,0,24
New Mexico,Dec 25 2021,0,24
New Mexico,Dec 24 2021,0,24
New Mexico,Dec 23 2021,44,32
New Mexico,Dec 22 2021,39,26
New Mexico,Dec 21 2021,48,24
New Mexico,Dec 20 2021,37,18
New Mexico,Dec 19 2021,0,15
New Mexico,Dec 18 2021,0,15
New Mexico,Dec 17 2021,61,15
New Mexico,Dec 16 2021,0,8
New Mexico,Dec 15 2021,25,10
New Mexico,Dec 14 2021,7,8
New Mexico,Dec 13 2021,12,9
New Mexico,Dec 12 2021,0,9
New Mexico,Dec 11 2021,0,9
New Mexico,Dec 10 2021,13,9
New Mexico,Dec  9 2021,14,9
New Mexico,Dec  8 2021,15,9
New Mexico,Dec  7 2021,11,9
New Mexico,Dec  6 2021,12,9
New Mexico,Dec  5 2021,0,13
New Mexico,Dec  4 2021,0,13
New Mexico,Dec  3 2021,14,13
New Mexico,Dec  2 2021,14,11
New Mexico,Dec  1 2021,12,9
New Mexico,Nov 30 2021,12,11
New Mexico,Nov 29 2021,45,11
New Mexico,Nov 28 2021,0,6
New Mexico,Nov 27 2021,0,6
New Mexico,Nov 26 2021,0,6
New Mexico,Nov 25 2021,0,10
New Mexico,Nov 24 2021,21,13
New Mexico,Nov 23 2021,12,12
New Mexico,Nov 22 2021,14,12
New Mexico,Nov 21 2021,0,13
New Mexico,Nov 20 2021,0,13
New Mexico,Nov 19 2021,25,13
New Mexico,Nov 18 2021,23,12
New Mexico,Nov 17 2021,12,9
New Mexico,Nov 16 2021,12,9
New Mexico,Nov 15 2021,22,9
New Mexico,Nov 14 2021,0,8
New Mexico,Nov 13 2021,0,8
New Mexico,Nov 12 2021,21,8
New Mexico,Nov 11 2021,0,6
New Mexico,Nov 10 2021,13,9
New Mexico,Nov  9 2021,11,8
New Mexico,Nov  8 2021,11,9
New Mexico,Nov  7 2021,0,9
New Mexico,Nov  6 2021,0,9
New Mexico,Nov  5 2021,12,9
New Mexico,Nov  4 2021,16,8
New Mexico,Nov  3 2021,12,8
New Mexico,Nov  2 2021,12,8
New Mexico,Nov  1 2021,12,8
New Mexico,Oct 31 2021,0,9
New Mexico,Oct 30 2021,0,9
New Mexico,Oct 29 2021,10,9
New Mexico,Oct 28 2021,12,9
New Mexico,Oct 27 2021,15,8
New Mexico,Oct 26 2021,11,8
New Mexico,Oct 25 2021,15,8
New Mexico,Oct 24 2021,0,8
New Mexico,Oct 23 2021,0,8
New Mexico,Oct 22 2021,14,8
New Mexico,Oct 21 2021,7,7
New Mexico,Oct 20 2021,13,9
New Mexico,Oct 19 2021,10,9
New Mexico,Oct 18 2021,12,10
New Mexico,Oct 17 2021,0,8
New Mexico,Oct 16 2021,0,8
New Mexico,Oct 15 2021,11,8
New Mexico,Oct 14 2021,20,9
New Mexico,Oct 13 2021,14,8
New Mexico,Oct 12 2021,16,7
New Mexico,Oct 11 2021,0,6
New Mexico,Oct 10 2021,0,8
New Mexico,Oct  9 2021,0,8
New Mexico,Oct  8 2021,15,8
New Mexico,Oct  7 2021,14,7
New Mexico,Oct  6 2021,10,7
New Mexico,Oct  5 2021,7,7
New Mexico,Oct  4 2021,12,8
New Mexico,Oct  3 2021,0,9
New Mexico,Oct  2 2021,0,9
New Mexico,Oct  1 2021,11,9
New Mexico,Sep 30 2021,13,9
New Mexico,Sep 29 2021,12,9
New Mexico,Sep 28 2021,12,10
New Mexico,Sep 27 2021,15,10
New Mexico,Sep 26 2021,0,10
New Mexico,Sep 25 2021,0,10
New Mexico,Sep 24 2021,14,10
New Mexico,Sep 23 2021,16,10
New Mexico,Sep 22 2021,19,10
New Mexico,Sep 21 2021,11,9
New Mexico,Sep 20 2021,14,10
New Mexico,Sep 19 2021,0,10
New Mexico,Sep 18 2021,0,10
New Mexico,Sep 17 2021,13,10
New Mexico,Sep 16 2021,13,11
New Mexico,Sep 15 2021,18,10
New Mexico,Sep 14 2021,12,9
New Mexico,Sep 13 2021,14,9
New Mexico,Sep 12 2021,0,7
New Mexico,Sep 11 2021,0,7
New Mexico,Sep 10 2021,20,7
New Mexico,Sep  9 2021,8,5
New Mexico,Sep  8 2021,15,6
New Mexico,Sep  7 2021,10,6
New Mexico,Sep  6 2021,0,5
New Mexico,Sep  5 2021,0,6
New Mexico,Sep  4 2021,0,6
New Mexico,Sep  3 2021,8,6
New Mexico,Sep  2 2021,15,6
New Mexico,Sep  1 2021,11,6
New Mexico,Aug 31 2021,6,5
New Mexico,Aug 30 2021,7,4
New Mexico,Aug 29 2021,0,4
New Mexico,Aug 28 2021,0,4
New Mexico,Aug 27 2021,9,4
New Mexico,Aug 26 2021,9,4
New Mexico,Aug 25 2021,5,4
New Mexico,Aug 24 2021,2,4
New Mexico,Aug 23 2021,9,4
New Mexico,Aug 22 2021,0,3
New Mexico,Aug 21 2021,0,3
New Mexico,Aug 20 2021,9,3
New Mexico,Aug 19 2021,4,3
New Mexico,Aug 18 2021,4,3
New Mexico,Aug 17 2021,4,3
New Mexico,Aug 16 2021,5,3
New Mexico,Aug 15 2021,0,3
New Mexico,Aug 14 2021,0,3
New Mexico,Aug 13 2021,5,3
New Mexico,Aug 12 2021,4,3
New Mexico,Aug 11 2021,7,3
New Mexico,Aug 10 2021,5,2
New Mexico,Aug  9 2021,0,1
New Mexico,Aug  8 2021,0,2
New Mexico,Aug  7 2021,0,2
New Mexico,Aug  6 2021,6,2
New Mexico,Aug  5 2021,3,1
New Mexico,Aug  4 2021,2,1
New Mexico,Aug  3 2021,1,1
New Mexico,Aug  2 2021,4,2
New Mexico,Aug  1 2021,0,1
New Mexico,Jul 31 2021,0,1
New Mexico,Jul 30 2021,2,1
New Mexico,Jul 29 2021,1,2
New Mexico,Jul 28 2021,5,2
New Mexico,Jul 27 2021,2,2
New Mexico,Jul 26 2021,3,2
New Mexico,Jul 25 2021,0,2
New Mexico,Jul 24 2021,0,2
New Mexico,Jul 23 2021,3,2
New Mexico,Jul 22 2021,2,3
New Mexico,Jul 21 2021,5,4
New Mexico,Jul 20 2021,4,4
New Mexico,Jul 19 2021,4,3
New Mexico,Jul 18 2021,0,3
New Mexico,Jul 17 2021,0,3
New Mexico,Jul 16 2021,7,3
New Mexico,Jul 15 2021,10,2
New Mexico,Jul 14 2021,3,2
New Mexico,Jul 13 2021,1,1
New Mexico,Jul 12 2021,4,2
New Mexico,Jul 11 2021,0,1
New Mexico,Jul 10 2021,0,1
New Mexico,Jul  9 2021,1,1
New Mexico,Jul  8 2021,6,1
New Mexico,Jul  7 2021,1,1
New Mexico,Jul  6 2021,2,1
New Mexico,Jul  5 2021,0,1
New Mexico,Jul  4 2021,0,1
New Mexico,Jul  3 2021,0,1
New Mexico,Jul  2 2021,1,1
New Mexico,Jul  1 2021,3,1
New Mexico,Jun 30 2021,2,1
New Mexico,Jun 29 2021,2,1
New Mexico,Jun 28 2021,1,1
New Mexico,Jun 27 2021,0,2
New Mexico,Jun 26 2021,0,2
New Mexico,Jun 25 2021,1,2
New Mexico,Jun 24 2021,2,3
New Mexico,Jun 23 2021,2,3
New Mexico,Jun 22 2021,4,4
New Mexico,Jun 21 2021,10,3
New Mexico,Jun 20 2021,0,2
New Mexico,Jun 19 2021,0,2
New Mexico,Jun 18 2021,6,2
New Mexico,Jun 17 2021,5,2
New Mexico,Jun 16 2021,3,1
New Mexico,Jun 15 2021,0,2
New Mexico,Jun 14 2021,5,2
New Mexico,Jun 13 2021,0,2
