Data Table for Daily Death Trends - New York City*
Date generated: Mon Jul 25 2022 09:27:52 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
New York City,Jul 21 2022,13,12
New York City,Jul 20 2022,17,11
New York City,Jul 19 2022,15,10
New York City,Jul 18 2022,24,10
New York City,Jul 17 2022,15,9
New York City,Jul 16 2022,0,9
New York City,Jul 15 2022,0,9
New York City,Jul 14 2022,9,9
New York City,Jul 13 2022,13,9
New York City,Jul 12 2022,15,10
New York City,Jul 11 2022,14,10
New York City,Jul 10 2022,12,9
New York City,Jul  9 2022,0,9
New York City,Jul  8 2022,0,9
New York City,Jul  7 2022,12,9
New York City,Jul  6 2022,21,10
New York City,Jul  5 2022,14,8
New York City,Jul  4 2022,6,9
New York City,Jul  3 2022,11,11
New York City,Jul  2 2022,0,10
New York City,Jul  1 2022,0,10
New York City,Jun 30 2022,18,10
New York City,Jun 29 2022,13,9
New York City,Jun 28 2022,18,10
New York City,Jun 27 2022,21,10
New York City,Jun 26 2022,4,8
New York City,Jun 25 2022,0,8
New York City,Jun 24 2022,0,8
New York City,Jun 23 2022,8,8
New York City,Jun 22 2022,23,8
New York City,Jun 21 2022,20,8
New York City,Jun 20 2022,5,10
New York City,Jun 19 2022,4,13
New York City,Jun 18 2022,0,14
New York City,Jun 17 2022,0,14
New York City,Jun 16 2022,9,14
New York City,Jun 15 2022,24,15
New York City,Jun 14 2022,29,13
New York City,Jun 13 2022,30,12
New York City,Jun 12 2022,12,11
New York City,Jun 11 2022,0,11
New York City,Jun 10 2022,0,11
New York City,Jun  9 2022,16,11
New York City,Jun  8 2022,10,10
New York City,Jun  7 2022,19,10
New York City,Jun  6 2022,22,10
New York City,Jun  5 2022,12,8
New York City,Jun  4 2022,0,8
New York City,Jun  3 2022,0,8
New York City,Jun  2 2022,9,8
New York City,Jun  1 2022,14,9
New York City,May 31 2022,18,8
New York City,May 30 2022,4,8
New York City,May 29 2022,12,11
New York City,May 28 2022,0,10
New York City,May 27 2022,0,10
New York City,May 26 2022,16,10
New York City,May 25 2022,10,9
New York City,May 24 2022,17,9
New York City,May 23 2022,22,8
New York City,May 22 2022,6,7
New York City,May 21 2022,0,7
New York City,May 20 2022,0,7
New York City,May 19 2022,11,7
New York City,May 18 2022,13,7
New York City,May 17 2022,7,6
New York City,May 16 2022,13,6
New York City,May 15 2022,11,5
New York City,May 14 2022,0,5
New York City,May 13 2022,0,5
New York City,May 12 2022,6,5
New York City,May 11 2022,5,4
New York City,May 10 2022,8,5
New York City,May  9 2022,8,5
New York City,May  8 2022,8,4
New York City,May  7 2022,0,4
New York City,May  6 2022,0,4
New York City,May  5 2022,5,4
New York City,May  4 2022,7,4
New York City,May  3 2022,10,5
New York City,May  2 2022,4,4
New York City,May  1 2022,7,4
New York City,Apr 30 2022,0,4
New York City,Apr 29 2022,0,4
New York City,Apr 28 2022,6,4
New York City,Apr 27 2022,8,3
New York City,Apr 26 2022,4,3
New York City,Apr 25 2022,7,4
New York City,Apr 24 2022,7,4
New York City,Apr 23 2022,0,4
New York City,Apr 22 2022,0,4
New York City,Apr 21 2022,0,4
New York City,Apr 20 2022,8,5
New York City,Apr 19 2022,7,4
New York City,Apr 18 2022,8,4
New York City,Apr 17 2022,11,5
New York City,Apr 16 2022,0,4
New York City,Apr 15 2022,0,4
New York City,Apr 14 2022,5,4
New York City,Apr 13 2022,2,4
New York City,Apr 12 2022,8,4
New York City,Apr 11 2022,9,4
New York City,Apr 10 2022,5,2
New York City,Apr  9 2022,0,2
New York City,Apr  8 2022,0,2
New York City,Apr  7 2022,4,2
New York City,Apr  6 2022,3,3
New York City,Apr  5 2022,7,3
New York City,Apr  4 2022,0,2
New York City,Apr  3 2022,5,4
New York City,Apr  2 2022,0,4
New York City,Apr  1 2022,0,4
New York City,Mar 31 2022,8,4
New York City,Mar 30 2022,3,4
New York City,Mar 29 2022,3,4
New York City,Mar 28 2022,9,6
New York City,Mar 27 2022,9,6
New York City,Mar 26 2022,0,5
New York City,Mar 25 2022,0,5
New York City,Mar 24 2022,8,5
New York City,Mar 23 2022,2,5
New York City,Mar 22 2022,15,7
New York City,Mar 21 2022,10,9
New York City,Mar 20 2022,0,11
New York City,Mar 19 2022,0,13
New York City,Mar 18 2022,0,13
New York City,Mar 17 2022,11,13
New York City,Mar 16 2022,17,14
New York City,Mar 15 2022,31,11
New York City,Mar 14 2022,23,7
New York City,Mar 13 2022,15,7
New York City,Mar 12 2022,0,9
New York City,Mar 11 2022,0,9
New York City,Mar 10 2022,13,9
New York City,Mar  9 2022,0,10
New York City,Mar  8 2022,0,13
New York City,Mar  7 2022,23,16
New York City,Mar  6 2022,28,17
New York City,Mar  5 2022,0,17
New York City,Mar  4 2022,0,17
New York City,Mar  3 2022,20,17
New York City,Mar  2 2022,21,19
New York City,Mar  1 2022,24,22
New York City,Feb 28 2022,27,23
New York City,Feb 27 2022,29,26
New York City,Feb 26 2022,0,28
New York City,Feb 25 2022,0,28
New York City,Feb 24 2022,38,28
New York City,Feb 23 2022,38,30
New York City,Feb 22 2022,35,30
New York City,Feb 21 2022,47,32
New York City,Feb 20 2022,42,39
New York City,Feb 19 2022,0,42
New York City,Feb 18 2022,0,42
New York City,Feb 17 2022,51,42
New York City,Feb 16 2022,35,44
New York City,Feb 15 2022,53,49
New York City,Feb 14 2022,92,57
New York City,Feb 13 2022,66,64
New York City,Feb 12 2022,0,69
New York City,Feb 11 2022,0,69
New York City,Feb 10 2022,63,69
New York City,Feb  9 2022,72,73
New York City,Feb  8 2022,111,78
New York City,Feb  7 2022,136,77
New York City,Feb  6 2022,106,79
New York City,Feb  5 2022,0,85
New York City,Feb  4 2022,0,85
New York City,Feb  3 2022,91,85
New York City,Feb  2 2022,107,91
New York City,Feb  1 2022,101,92
New York City,Jan 31 2022,151,100
New York City,Jan 30 2022,148,110
New York City,Jan 29 2022,0,115
New York City,Jan 28 2022,0,115
New York City,Jan 27 2022,132,115
New York City,Jan 26 2022,116,115
New York City,Jan 25 2022,157,113
New York City,Jan 24 2022,223,115
New York City,Jan 23 2022,178,120
New York City,Jan 22 2022,0,121
New York City,Jan 21 2022,0,121
New York City,Jan 20 2022,132,121
New York City,Jan 19 2022,106,122
New York City,Jan 18 2022,166,127
New York City,Jan 17 2022,262,123
New York City,Jan 16 2022,182,113
New York City,Jan 15 2022,0,103
New York City,Jan 14 2022,0,103
New York City,Jan 13 2022,139,103
New York City,Jan 12 2022,145,98
New York City,Jan 11 2022,139,89
New York City,Jan 10 2022,190,82
New York City,Jan  9 2022,110,63
New York City,Jan  8 2022,0,58
New York City,Jan  7 2022,0,58
New York City,Jan  6 2022,107,58
New York City,Jan  5 2022,77,48
New York City,Jan  4 2022,95,43
New York City,Jan  3 2022,52,44
New York City,Jan  2 2022,76,37
New York City,Jan  1 2022,0,31
New York City,Dec 31 2021,0,31
New York City,Dec 30 2021,38,31
New York City,Dec 29 2021,45,28
New York City,Dec 28 2021,101,25
New York City,Dec 27 2021,5,14
New York City,Dec 26 2021,28,19
New York City,Dec 25 2021,0,18
New York City,Dec 24 2021,0,18
New York City,Dec 23 2021,21,18
New York City,Dec 22 2021,22,18
New York City,Dec 21 2021,28,15
New York City,Dec 20 2021,34,15
New York City,Dec 19 2021,22,13
New York City,Dec 18 2021,0,12
New York City,Dec 17 2021,0,12
New York City,Dec 16 2021,24,12
New York City,Dec 15 2021,3,11
New York City,Dec 14 2021,26,13
New York City,Dec 13 2021,21,12
New York City,Dec 12 2021,15,12
New York City,Dec 11 2021,0,12
New York City,Dec 10 2021,0,12
New York City,Dec  9 2021,15,12
New York City,Dec  8 2021,16,12
New York City,Dec  7 2021,20,11
New York City,Dec  6 2021,22,11
New York City,Dec  5 2021,15,10
New York City,Dec  4 2021,0,10
New York City,Dec  3 2021,0,10
New York City,Dec  2 2021,11,10
New York City,Dec  1 2021,9,11
New York City,Nov 30 2021,20,10
New York City,Nov 29 2021,20,10
New York City,Nov 28 2021,14,8
New York City,Nov 27 2021,0,7
New York City,Nov 26 2021,0,7
New York City,Nov 25 2021,19,7
New York City,Nov 24 2021,0,7
New York City,Nov 23 2021,17,8
New York City,Nov 22 2021,11,7
New York City,Nov 21 2021,8,8
New York City,Nov 20 2021,0,7
New York City,Nov 19 2021,0,7
New York City,Nov 18 2021,13,8
New York City,Nov 17 2021,9,8
New York City,Nov 16 2021,12,8
New York City,Nov 15 2021,17,10
New York City,Nov 14 2021,1,7
New York City,Nov 13 2021,0,9
