Data Table for Daily Death Trends - North Carolina
Date generated: Mon Jul 25 2022 09:28:00 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
North Carolina,Jul 21 2022,0,2
North Carolina,Jul 20 2022,0,2
North Carolina,Jul 19 2022,1,2
North Carolina,Jul 18 2022,3,2
North Carolina,Jul 17 2022,1,2
North Carolina,Jul 16 2022,3,3
North Carolina,Jul 15 2022,6,3
North Carolina,Jul 14 2022,0,3
North Carolina,Jul 13 2022,2,3
North Carolina,Jul 12 2022,1,4
North Carolina,Jul 11 2022,7,4
North Carolina,Jul 10 2022,6,4
North Carolina,Jul  9 2022,2,5
North Carolina,Jul  8 2022,3,5
North Carolina,Jul  7 2022,5,6
North Carolina,Jul  6 2022,5,6
North Carolina,Jul  5 2022,5,7
North Carolina,Jul  4 2022,8,7
North Carolina,Jul  3 2022,10,7
North Carolina,Jul  2 2022,5,6
North Carolina,Jul  1 2022,5,7
North Carolina,Jun 30 2022,8,8
North Carolina,Jun 29 2022,8,8
North Carolina,Jun 28 2022,8,8
North Carolina,Jun 27 2022,7,7
North Carolina,Jun 26 2022,6,6
North Carolina,Jun 25 2022,9,6
North Carolina,Jun 24 2022,14,6
North Carolina,Jun 23 2022,5,5
North Carolina,Jun 22 2022,7,4
North Carolina,Jun 21 2022,4,5
North Carolina,Jun 20 2022,3,5
North Carolina,Jun 19 2022,4,5
North Carolina,Jun 18 2022,6,5
North Carolina,Jun 17 2022,6,6
North Carolina,Jun 16 2022,2,7
North Carolina,Jun 15 2022,10,7
North Carolina,Jun 14 2022,7,7
North Carolina,Jun 13 2022,4,6
North Carolina,Jun 12 2022,6,6
North Carolina,Jun 11 2022,13,6
North Carolina,Jun 10 2022,7,4
North Carolina,Jun  9 2022,5,4
North Carolina,Jun  8 2022,7,4
North Carolina,Jun  7 2022,4,5
North Carolina,Jun  6 2022,3,5
North Carolina,Jun  5 2022,4,5
North Carolina,Jun  4 2022,3,6
North Carolina,Jun  3 2022,5,6
North Carolina,Jun  2 2022,8,6
North Carolina,Jun  1 2022,10,6
North Carolina,May 31 2022,4,6
North Carolina,May 30 2022,6,6
North Carolina,May 29 2022,6,6
North Carolina,May 28 2022,5,5
North Carolina,May 27 2022,4,5
North Carolina,May 26 2022,9,5
North Carolina,May 25 2022,10,4
North Carolina,May 24 2022,6,4
North Carolina,May 23 2022,2,4
North Carolina,May 22 2022,4,5
North Carolina,May 21 2022,1,5
North Carolina,May 20 2022,4,5
North Carolina,May 19 2022,4,5
North Carolina,May 18 2022,8,6
North Carolina,May 17 2022,10,6
North Carolina,May 16 2022,8,6
North Carolina,May 15 2022,5,6
North Carolina,May 14 2022,2,5
North Carolina,May 13 2022,4,5
North Carolina,May 12 2022,10,5
North Carolina,May 11 2022,6,5
North Carolina,May 10 2022,10,5
North Carolina,May  9 2022,7,4
North Carolina,May  8 2022,2,4
North Carolina,May  7 2022,1,5
North Carolina,May  6 2022,4,5
North Carolina,May  5 2022,5,5
North Carolina,May  4 2022,8,5
North Carolina,May  3 2022,7,6
North Carolina,May  2 2022,7,6
North Carolina,May  1 2022,5,5
North Carolina,Apr 30 2022,3,6
North Carolina,Apr 29 2022,5,6
North Carolina,Apr 28 2022,4,5
North Carolina,Apr 27 2022,12,5
North Carolina,Apr 26 2022,8,4
North Carolina,Apr 25 2022,4,4
North Carolina,Apr 24 2022,7,3
North Carolina,Apr 23 2022,4,3
North Carolina,Apr 22 2022,2,4
North Carolina,Apr 21 2022,2,4
North Carolina,Apr 20 2022,5,5
North Carolina,Apr 19 2022,5,6
North Carolina,Apr 18 2022,1,6
North Carolina,Apr 17 2022,6,6
North Carolina,Apr 16 2022,10,6
North Carolina,Apr 15 2022,5,6
North Carolina,Apr 14 2022,8,6
North Carolina,Apr 13 2022,7,6
North Carolina,Apr 12 2022,6,6
North Carolina,Apr 11 2022,4,6
North Carolina,Apr 10 2022,6,6
North Carolina,Apr  9 2022,6,6
North Carolina,Apr  8 2022,8,6
North Carolina,Apr  7 2022,9,6
North Carolina,Apr  6 2022,7,6
North Carolina,Apr  5 2022,4,6
North Carolina,Apr  4 2022,3,7
North Carolina,Apr  3 2022,9,8
North Carolina,Apr  2 2022,4,8
North Carolina,Apr  1 2022,7,9
North Carolina,Mar 31 2022,10,9
North Carolina,Mar 30 2022,10,9
North Carolina,Mar 29 2022,10,10
North Carolina,Mar 28 2022,10,11
North Carolina,Mar 27 2022,9,12
North Carolina,Mar 26 2022,11,13
North Carolina,Mar 25 2022,8,14
North Carolina,Mar 24 2022,11,16
North Carolina,Mar 23 2022,13,17
North Carolina,Mar 22 2022,16,18
North Carolina,Mar 21 2022,17,18
North Carolina,Mar 20 2022,18,18
North Carolina,Mar 19 2022,15,17
North Carolina,Mar 18 2022,22,18
North Carolina,Mar 17 2022,21,19
North Carolina,Mar 16 2022,19,20
North Carolina,Mar 15 2022,16,22
North Carolina,Mar 14 2022,15,25
North Carolina,Mar 13 2022,16,27
North Carolina,Mar 12 2022,17,29
North Carolina,Mar 11 2022,31,31
North Carolina,Mar 10 2022,28,31
North Carolina,Mar  9 2022,37,32
North Carolina,Mar  8 2022,35,33
North Carolina,Mar  7 2022,29,31
North Carolina,Mar  6 2022,32,32
North Carolina,Mar  5 2022,28,33
North Carolina,Mar  4 2022,34,36
North Carolina,Mar  3 2022,34,37
North Carolina,Mar  2 2022,40,39
North Carolina,Mar  1 2022,22,40
North Carolina,Feb 28 2022,36,44
North Carolina,Feb 27 2022,42,46
North Carolina,Feb 26 2022,46,50
North Carolina,Feb 25 2022,39,53
North Carolina,Feb 24 2022,49,56
North Carolina,Feb 23 2022,47,58
North Carolina,Feb 22 2022,51,61
North Carolina,Feb 21 2022,54,62
North Carolina,Feb 20 2022,69,66
North Carolina,Feb 19 2022,63,68
North Carolina,Feb 18 2022,62,71
North Carolina,Feb 17 2022,66,74
North Carolina,Feb 16 2022,68,76
North Carolina,Feb 15 2022,58,79
North Carolina,Feb 14 2022,79,84
North Carolina,Feb 13 2022,85,85
North Carolina,Feb 12 2022,80,85
North Carolina,Feb 11 2022,87,91
North Carolina,Feb 10 2022,76,95
