Data Table for Daily Death Trends - North Dakota
Date generated: Mon Jul 25 2022 09:28:09 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
North Dakota,Jul 21 2022,0,0
North Dakota,Jul 20 2022,0,0
North Dakota,Jul 19 2022,0,1
North Dakota,Jul 18 2022,5,1
North Dakota,Jul 17 2022,0,0
North Dakota,Jul 16 2022,0,0
North Dakota,Jul 15 2022,0,0
North Dakota,Jul 14 2022,0,0
North Dakota,Jul 13 2022,3,0
North Dakota,Jul 12 2022,0,0
North Dakota,Jul 11 2022,0,0
North Dakota,Jul 10 2022,0,0
North Dakota,Jul  9 2022,0,0
North Dakota,Jul  8 2022,0,0
North Dakota,Jul  7 2022,0,0
North Dakota,Jul  6 2022,0,0
North Dakota,Jul  5 2022,0,0
North Dakota,Jul  4 2022,0,0
North Dakota,Jul  3 2022,0,0
North Dakota,Jul  2 2022,0,0
North Dakota,Jul  1 2022,0,0
North Dakota,Jun 30 2022,0,0
North Dakota,Jun 29 2022,0,0
North Dakota,Jun 28 2022,1,0
North Dakota,Jun 27 2022,0,0
North Dakota,Jun 26 2022,0,1
North Dakota,Jun 25 2022,0,1
North Dakota,Jun 24 2022,1,1
North Dakota,Jun 23 2022,0,1
North Dakota,Jun 22 2022,1,1
North Dakota,Jun 21 2022,0,1
North Dakota,Jun 20 2022,5,1
North Dakota,Jun 19 2022,0,0
North Dakota,Jun 18 2022,0,0
North Dakota,Jun 17 2022,1,0
North Dakota,Jun 16 2022,0,0
North Dakota,Jun 15 2022,2,0
North Dakota,Jun 14 2022,0,0
North Dakota,Jun 13 2022,0,0
North Dakota,Jun 12 2022,0,0
North Dakota,Jun 11 2022,0,0
North Dakota,Jun 10 2022,0,0
North Dakota,Jun  9 2022,1,0
North Dakota,Jun  8 2022,0,0
North Dakota,Jun  7 2022,0,0
North Dakota,Jun  6 2022,1,0
North Dakota,Jun  5 2022,0,0
North Dakota,Jun  4 2022,0,0
North Dakota,Jun  3 2022,0,0
North Dakota,Jun  2 2022,0,0
North Dakota,Jun  1 2022,0,0
North Dakota,May 31 2022,0,1
North Dakota,May 30 2022,2,1
North Dakota,May 29 2022,0,0
North Dakota,May 28 2022,0,0
North Dakota,May 27 2022,0,0
North Dakota,May 26 2022,1,0
North Dakota,May 25 2022,4,0
North Dakota,May 24 2022,0,0
North Dakota,May 23 2022,0,0
North Dakota,May 22 2022,0,0
North Dakota,May 21 2022,0,0
North Dakota,May 20 2022,0,0
North Dakota,May 19 2022,1,0
North Dakota,May 18 2022,0,0
North Dakota,May 17 2022,0,1
North Dakota,May 16 2022,1,1
North Dakota,May 15 2022,0,0
North Dakota,May 14 2022,0,0
North Dakota,May 13 2022,2,0
North Dakota,May 12 2022,0,0
North Dakota,May 11 2022,4,0
North Dakota,May 10 2022,0,0
North Dakota,May  9 2022,0,0
North Dakota,May  8 2022,0,0
North Dakota,May  7 2022,0,0
North Dakota,May  6 2022,0,0
North Dakota,May  5 2022,0,0
North Dakota,May  4 2022,0,0
North Dakota,May  3 2022,0,0
North Dakota,May  2 2022,0,0
North Dakota,May  1 2022,0,1
North Dakota,Apr 30 2022,0,1
North Dakota,Apr 29 2022,0,1
North Dakota,Apr 28 2022,0,1
North Dakota,Apr 27 2022,5,1
North Dakota,Apr 26 2022,0,0
North Dakota,Apr 25 2022,2,0
North Dakota,Apr 24 2022,0,0
North Dakota,Apr 23 2022,0,0
North Dakota,Apr 22 2022,1,0
North Dakota,Apr 21 2022,3,0
North Dakota,Apr 20 2022,0,0
North Dakota,Apr 19 2022,0,0
North Dakota,Apr 18 2022,0,0
North Dakota,Apr 17 2022,0,0
North Dakota,Apr 16 2022,0,0
North Dakota,Apr 15 2022,0,0
North Dakota,Apr 14 2022,0,0
North Dakota,Apr 13 2022,3,0
North Dakota,Apr 12 2022,0,1
North Dakota,Apr 11 2022,0,1
North Dakota,Apr 10 2022,0,1
North Dakota,Apr  9 2022,0,1
North Dakota,Apr  8 2022,3,1
North Dakota,Apr  7 2022,0,0
North Dakota,Apr  6 2022,4,0
North Dakota,Apr  5 2022,1,0
North Dakota,Apr  4 2022,0,0
North Dakota,Apr  3 2022,0,0
North Dakota,Apr  2 2022,0,0
North Dakota,Apr  1 2022,1,0
North Dakota,Mar 31 2022,0,0
North Dakota,Mar 30 2022,0,0
North Dakota,Mar 29 2022,0,1
North Dakota,Mar 28 2022,3,1
North Dakota,Mar 27 2022,0,1
North Dakota,Mar 26 2022,0,1
North Dakota,Mar 25 2022,0,1
North Dakota,Mar 24 2022,3,1
North Dakota,Mar 23 2022,5,1
North Dakota,Mar 22 2022,0,0
North Dakota,Mar 21 2022,1,1
North Dakota,Mar 20 2022,0,1
North Dakota,Mar 19 2022,0,1
North Dakota,Mar 18 2022,1,1
North Dakota,Mar 17 2022,3,1
North Dakota,Mar 16 2022,1,1
North Dakota,Mar 15 2022,2,2
North Dakota,Mar 14 2022,0,2
North Dakota,Mar 13 2022,0,3
North Dakota,Mar 12 2022,3,3
North Dakota,Mar 11 2022,0,2
North Dakota,Mar 10 2022,5,2
North Dakota,Mar  9 2022,4,2
North Dakota,Mar  8 2022,3,2
North Dakota,Mar  7 2022,6,2
North Dakota,Mar  6 2022,0,1
North Dakota,Mar  5 2022,0,1
North Dakota,Mar  4 2022,0,2
North Dakota,Mar  3 2022,6,3
North Dakota,Mar  2 2022,5,2
North Dakota,Mar  1 2022,2,2
North Dakota,Feb 28 2022,0,2
North Dakota,Feb 27 2022,0,2
North Dakota,Feb 26 2022,5,2
North Dakota,Feb 25 2022,4,1
North Dakota,Feb 24 2022,3,1
North Dakota,Feb 23 2022,6,1
North Dakota,Feb 22 2022,0,0
North Dakota,Feb 21 2022,0,1
North Dakota,Feb 20 2022,0,2
North Dakota,Feb 19 2022,0,2
North Dakota,Feb 18 2022,2,3
North Dakota,Feb 17 2022,3,3
North Dakota,Feb 16 2022,1,3
North Dakota,Feb 15 2022,3,4
