Data Table for Daily Death Trends - Ohio
Date generated: Mon Jul 25 2022 09:28:19 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Ohio,Jul 21 2022,22,3
Ohio,Jul 20 2022,0,5
Ohio,Jul 19 2022,0,5
Ohio,Jul 18 2022,0,5
Ohio,Jul 17 2022,0,5
Ohio,Jul 16 2022,0,5
Ohio,Jul 15 2022,0,5
Ohio,Jul 14 2022,39,5
Ohio,Jul 13 2022,0,9
Ohio,Jul 12 2022,0,9
Ohio,Jul 11 2022,0,9
Ohio,Jul 10 2022,0,9
Ohio,Jul  9 2022,0,9
Ohio,Jul  8 2022,0,9
Ohio,Jul  7 2022,68,9
Ohio,Jul  6 2022,0,10
Ohio,Jul  5 2022,0,10
Ohio,Jul  4 2022,0,10
Ohio,Jul  3 2022,0,10
Ohio,Jul  2 2022,0,10
Ohio,Jul  1 2022,0,10
Ohio,Jun 30 2022,74,10
Ohio,Jun 29 2022,0,17
Ohio,Jun 28 2022,0,17
Ohio,Jun 27 2022,0,17
Ohio,Jun 26 2022,0,17
Ohio,Jun 25 2022,0,17
Ohio,Jun 24 2022,0,17
Ohio,Jun 23 2022,121,17
Ohio,Jun 22 2022,0,0
Ohio,Jun 21 2022,0,0
Ohio,Jun 20 2022,0,0
Ohio,Jun 19 2022,0,0
Ohio,Jun 18 2022,0,0
Ohio,Jun 17 2022,0,0
Ohio,Jun 16 2022,0,0
Ohio,Jun 15 2022,0,0
Ohio,Jun 14 2022,0,0
Ohio,Jun 13 2022,0,0
Ohio,Jun 12 2022,0,0
Ohio,Jun 11 2022,0,0
Ohio,Jun 10 2022,0,0
Ohio,Jun  9 2022,0,0
Ohio,Jun  8 2022,0,4
Ohio,Jun  7 2022,0,4
Ohio,Jun  6 2022,0,4
Ohio,Jun  5 2022,0,4
Ohio,Jun  4 2022,0,4
Ohio,Jun  3 2022,0,4
Ohio,Jun  2 2022,29,4
Ohio,Jun  1 2022,0,5
Ohio,May 31 2022,0,5
Ohio,May 30 2022,0,5
Ohio,May 29 2022,0,5
Ohio,May 28 2022,0,5
Ohio,May 27 2022,0,5
Ohio,May 26 2022,38,5
Ohio,May 25 2022,0,5
Ohio,May 24 2022,0,5
Ohio,May 23 2022,0,5
Ohio,May 22 2022,0,5
Ohio,May 21 2022,0,5
Ohio,May 20 2022,0,5
Ohio,May 19 2022,40,5
Ohio,May 18 2022,0,7
Ohio,May 17 2022,0,7
Ohio,May 16 2022,0,7
Ohio,May 15 2022,0,7
Ohio,May 14 2022,0,7
Ohio,May 13 2022,0,7
Ohio,May 12 2022,55,7
Ohio,May 11 2022,0,9
Ohio,May 10 2022,0,9
Ohio,May  9 2022,0,9
Ohio,May  8 2022,0,9
Ohio,May  7 2022,0,9
Ohio,May  6 2022,0,9
Ohio,May  5 2022,67,9
Ohio,May  4 2022,0,9
Ohio,May  3 2022,0,9
Ohio,May  2 2022,0,9
Ohio,May  1 2022,0,9
Ohio,Apr 30 2022,0,9
Ohio,Apr 29 2022,0,9
Ohio,Apr 28 2022,68,9
Ohio,Apr 27 2022,0,13
Ohio,Apr 26 2022,0,13
