Data Table for Daily Death Trends - Oregon
Date generated: Mon Jul 25 2022 09:28:36 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Oregon,Jul 21 2022,15,14
Oregon,Jul 20 2022,24,13
Oregon,Jul 19 2022,13,12
Oregon,Jul 18 2022,34,11
Oregon,Jul 17 2022,0,8
Oregon,Jul 16 2022,0,8
Oregon,Jul 15 2022,13,8
Oregon,Jul 14 2022,13,8
Oregon,Jul 13 2022,11,6
Oregon,Jul 12 2022,11,7
Oregon,Jul 11 2022,11,6
Oregon,Jul 10 2022,0,4
Oregon,Jul  9 2022,0,4
Oregon,Jul  8 2022,12,4
Oregon,Jul  7 2022,3,3
Oregon,Jul  6 2022,14,4
Oregon,Jul  5 2022,4,2
Oregon,Jul  4 2022,0,3
Oregon,Jul  3 2022,0,5
Oregon,Jul  2 2022,0,5
Oregon,Jul  1 2022,5,5
Oregon,Jun 30 2022,6,7
Oregon,Jun 29 2022,3,9
Oregon,Jun 28 2022,13,10
Oregon,Jun 27 2022,8,9
Oregon,Jun 26 2022,0,8
Oregon,Jun 25 2022,0,8
Oregon,Jun 24 2022,19,8
Oregon,Jun 23 2022,20,6
Oregon,Jun 22 2022,15,3
Oregon,Jun 21 2022,2,3
Oregon,Jun 20 2022,0,2
Oregon,Jun 19 2022,0,4
Oregon,Jun 18 2022,0,4
Oregon,Jun 17 2022,6,4
Oregon,Jun 16 2022,0,4
Oregon,Jun 15 2022,13,5
Oregon,Jun 14 2022,1,4
Oregon,Jun 13 2022,14,6
Oregon,Jun 12 2022,0,5
Oregon,Jun 11 2022,0,5
Oregon,Jun 10 2022,6,5
Oregon,Jun  9 2022,4,6
Oregon,Jun  8 2022,4,6
Oregon,Jun  7 2022,20,6
Oregon,Jun  6 2022,2,6
Oregon,Jun  5 2022,0,6
Oregon,Jun  4 2022,0,6
Oregon,Jun  3 2022,13,6
Oregon,Jun  2 2022,5,4
Oregon,Jun  1 2022,4,4
Oregon,May 31 2022,24,5
Oregon,May 30 2022,0,2
