Data Table for Daily Death Trends - Pennsylvania
Date generated: Mon Jul 25 2022 09:28:46 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Pennsylvania,Jul 21 2022,15,14
Pennsylvania,Jul 20 2022,21,14
Pennsylvania,Jul 19 2022,30,19
Pennsylvania,Jul 18 2022,33,15
Pennsylvania,Jul 17 2022,0,14
Pennsylvania,Jul 16 2022,0,14
Pennsylvania,Jul 15 2022,0,14
Pennsylvania,Jul 14 2022,14,17
Pennsylvania,Jul 13 2022,61,18
Pennsylvania,Jul 12 2022,0,13
Pennsylvania,Jul 11 2022,25,15
Pennsylvania,Jul 10 2022,0,12
Pennsylvania,Jul  9 2022,0,12
Pennsylvania,Jul  8 2022,25,12
Pennsylvania,Jul  7 2022,17,10
Pennsylvania,Jul  6 2022,27,15
Pennsylvania,Jul  5 2022,17,11
Pennsylvania,Jul  4 2022,0,8
Pennsylvania,Jul  3 2022,0,12
Pennsylvania,Jul  2 2022,0,12
Pennsylvania,Jul  1 2022,11,12
Pennsylvania,Jun 30 2022,51,12
Pennsylvania,Jun 29 2022,0,8
Pennsylvania,Jun 28 2022,0,14
Pennsylvania,Jun 27 2022,22,19
Pennsylvania,Jun 26 2022,0,16
Pennsylvania,Jun 25 2022,0,16
Pennsylvania,Jun 24 2022,15,16
Pennsylvania,Jun 23 2022,21,14
Pennsylvania,Jun 22 2022,43,15
Pennsylvania,Jun 21 2022,34,13
Pennsylvania,Jun 20 2022,0,10
Pennsylvania,Jun 19 2022,0,16
Pennsylvania,Jun 18 2022,0,16
Pennsylvania,Jun 17 2022,0,16
Pennsylvania,Jun 16 2022,28,20
Pennsylvania,Jun 15 2022,29,19
Pennsylvania,Jun 14 2022,17,24
Pennsylvania,Jun 13 2022,41,24
Pennsylvania,Jun 12 2022,0,22
Pennsylvania,Jun 11 2022,0,22
Pennsylvania,Jun 10 2022,31,22
Pennsylvania,Jun  9 2022,21,21
Pennsylvania,Jun  8 2022,64,22
Pennsylvania,Jun  7 2022,13,23
Pennsylvania,Jun  6 2022,28,21
Pennsylvania,Jun  5 2022,0,17
Pennsylvania,Jun  4 2022,0,17
Pennsylvania,Jun  3 2022,25,17
Pennsylvania,Jun  2 2022,29,16
Pennsylvania,Jun  1 2022,70,15
Pennsylvania,May 31 2022,0,8
Pennsylvania,May 30 2022,0,12
Pennsylvania,May 29 2022,0,15
Pennsylvania,May 28 2022,0,15
Pennsylvania,May 27 2022,15,15
Pennsylvania,May 26 2022,22,13
Pennsylvania,May 25 2022,20,13
Pennsylvania,May 24 2022,29,13
Pennsylvania,May 23 2022,21,12
Pennsylvania,May 22 2022,0,11
Pennsylvania,May 21 2022,0,11
Pennsylvania,May 20 2022,0,11
Pennsylvania,May 19 2022,25,13
Pennsylvania,May 18 2022,21,12
Pennsylvania,May 17 2022,21,12
Pennsylvania,May 16 2022,14,11
Pennsylvania,May 15 2022,0,12
Pennsylvania,May 14 2022,0,12
Pennsylvania,May 13 2022,13,12
Pennsylvania,May 12 2022,15,12
Pennsylvania,May 11 2022,25,11
Pennsylvania,May 10 2022,13,15
Pennsylvania,May  9 2022,19,13
Pennsylvania,May  8 2022,0,11
Pennsylvania,May  7 2022,0,11
Pennsylvania,May  6 2022,15,13
Pennsylvania,May  5 2022,9,14
Pennsylvania,May  4 2022,54,14
Pennsylvania,May  3 2022,0,9
Pennsylvania,May  2 2022,1,9
Pennsylvania,May  1 2022,1,10
Pennsylvania,Apr 30 2022,14,10
Pennsylvania,Apr 29 2022,22,10
Pennsylvania,Apr 28 2022,12,9
Pennsylvania,Apr 27 2022,13,12
Pennsylvania,Apr 26 2022,6,11
Pennsylvania,Apr 25 2022,2,17
Pennsylvania,Apr 24 2022,6,17
Pennsylvania,Apr 23 2022,10,16
Pennsylvania,Apr 22 2022,14,16
Pennsylvania,Apr 21 2022,39,16
Pennsylvania,Apr 20 2022,0,14
Pennsylvania,Apr 19 2022,51,16
Pennsylvania,Apr 18 2022,0,9
Pennsylvania,Apr 17 2022,0,9
Pennsylvania,Apr 16 2022,14,10
Pennsylvania,Apr 15 2022,10,10
Pennsylvania,Apr 14 2022,23,10
Pennsylvania,Apr 13 2022,16,10
Pennsylvania,Apr 12 2022,0,11
Pennsylvania,Apr 11 2022,1,15
Pennsylvania,Apr 10 2022,7,15
Pennsylvania,Apr  9 2022,13,14
Pennsylvania,Apr  8 2022,13,15
Pennsylvania,Apr  7 2022,21,16
Pennsylvania,Apr  6 2022,22,15
Pennsylvania,Apr  5 2022,32,15
Pennsylvania,Apr  4 2022,3,15
Pennsylvania,Apr  3 2022,0,14
Pennsylvania,Apr  2 2022,18,15
Pennsylvania,Apr  1 2022,20,16
Pennsylvania,Mar 31 2022,15,17
Pennsylvania,Mar 30 2022,22,24
Pennsylvania,Mar 29 2022,27,21
Pennsylvania,Mar 28 2022,2,23
Pennsylvania,Mar 27 2022,1,22
Pennsylvania,Mar 26 2022,28,28
Pennsylvania,Mar 25 2022,28,24
Pennsylvania,Mar 24 2022,61,22
Pennsylvania,Mar 23 2022,0,18
Pennsylvania,Mar 22 2022,41,26
Pennsylvania,Mar 21 2022,1,29
Pennsylvania,Mar 20 2022,38,30
Pennsylvania,Mar 19 2022,0,25
Pennsylvania,Mar 18 2022,19,29
Pennsylvania,Mar 17 2022,30,32
Pennsylvania,Mar 16 2022,53,33
Pennsylvania,Mar 15 2022,64,31
Pennsylvania,Mar 14 2022,6,35
Pennsylvania,Mar 13 2022,5,44
Pennsylvania,Mar 12 2022,26,44
Pennsylvania,Mar 11 2022,41,40
Pennsylvania,Mar 10 2022,37,40
Pennsylvania,Mar  9 2022,38,44
Pennsylvania,Mar  8 2022,92,51
Pennsylvania,Mar  7 2022,75,54
Pennsylvania,Mar  6 2022,0,44
Pennsylvania,Mar  5 2022,0,46
Pennsylvania,Mar  4 2022,39,53
Pennsylvania,Mar  3 2022,65,69
Pennsylvania,Mar  2 2022,89,59
Pennsylvania,Mar  1 2022,116,77
Pennsylvania,Feb 28 2022,1,61
Pennsylvania,Feb 27 2022,12,60
Pennsylvania,Feb 26 2022,55,73
Pennsylvania,Feb 25 2022,146,66
Pennsylvania,Feb 24 2022,0,55
Pennsylvania,Feb 23 2022,213,67
Pennsylvania,Feb 22 2022,0,52
Pennsylvania,Feb 21 2022,0,77
Pennsylvania,Feb 20 2022,103,83
Pennsylvania,Feb 19 2022,0,69
Pennsylvania,Feb 18 2022,69,78
Pennsylvania,Feb 17 2022,84,83
Pennsylvania,Feb 16 2022,109,90
Pennsylvania,Feb 15 2022,177,91
Pennsylvania,Feb 14 2022,44,94
Pennsylvania,Feb 13 2022,0,95
Pennsylvania,Feb 12 2022,69,97
Pennsylvania,Feb 11 2022,99,110
Pennsylvania,Feb 10 2022,138,119
Pennsylvania,Feb  9 2022,116,124
Pennsylvania,Feb  8 2022,196,135
Pennsylvania,Feb  7 2022,47,143
Pennsylvania,Feb  6 2022,14,139
Pennsylvania,Feb  5 2022,165,139
Pennsylvania,Feb  4 2022,160,137
Pennsylvania,Feb  3 2022,171,134
Pennsylvania,Feb  2 2022,192,156
Pennsylvania,Feb  1 2022,255,155
Pennsylvania,Jan 31 2022,18,145
Pennsylvania,Jan 30 2022,15,146
Pennsylvania,Jan 29 2022,154,151
Pennsylvania,Jan 28 2022,137,147
Pennsylvania,Jan 27 2022,325,166
Pennsylvania,Jan 26 2022,183,166
Pennsylvania,Jan 25 2022,189,156
Pennsylvania,Jan 24 2022,22,134
Pennsylvania,Jan 23 2022,51,131
Pennsylvania,Jan 22 2022,125,125
Pennsylvania,Jan 21 2022,269,133
Pennsylvania,Jan 20 2022,326,120
Pennsylvania,Jan 19 2022,112,94
Pennsylvania,Jan 18 2022,36,108
Pennsylvania,Jan 17 2022,0,133
Pennsylvania,Jan 16 2022,8,136
Pennsylvania,Jan 15 2022,185,138
Pennsylvania,Jan 14 2022,173,129
Pennsylvania,Jan 13 2022,150,126
Pennsylvania,Jan 12 2022,204,141
Pennsylvania,Jan 11 2022,213,133
Pennsylvania,Jan 10 2022,21,126
Pennsylvania,Jan  9 2022,23,135
Pennsylvania,Jan  8 2022,120,132
Pennsylvania,Jan  7 2022,156,116
Pennsylvania,Jan  6 2022,255,103
Pennsylvania,Jan  5 2022,143,86
Pennsylvania,Jan  4 2022,169,109
Pennsylvania,Jan  3 2022,84,104
Pennsylvania,Jan  2 2022,1,95
Pennsylvania,Jan  1 2022,9,94
Pennsylvania,Dec 31 2021,66,93
Pennsylvania,Dec 30 2021,135,121
Pennsylvania,Dec 29 2021,304,102
Pennsylvania,Dec 28 2021,131,83
Pennsylvania,Dec 27 2021,19,93
Pennsylvania,Dec 26 2021,0,93
Pennsylvania,Dec 25 2021,0,96
Pennsylvania,Dec 24 2021,264,123
Pennsylvania,Dec 23 2021,0,98
Pennsylvania,Dec 22 2021,171,113
Pennsylvania,Dec 21 2021,197,126
Pennsylvania,Dec 20 2021,20,114
Pennsylvania,Dec 19 2021,20,111
Pennsylvania,Dec 18 2021,195,115
Pennsylvania,Dec 17 2021,88,109
Pennsylvania,Dec 16 2021,105,117
Pennsylvania,Dec 15 2021,259,113
Pennsylvania,Dec 14 2021,113,89
Pennsylvania,Dec 13 2021,2,93
Pennsylvania,Dec 12 2021,45,102
Pennsylvania,Dec 11 2021,156,101
Pennsylvania,Dec 10 2021,144,95
Pennsylvania,Dec  9 2021,73,88
Pennsylvania,Dec  8 2021,91,96
Pennsylvania,Dec  7 2021,145,98
Pennsylvania,Dec  6 2021,60,93
Pennsylvania,Dec  5 2021,43,88
Pennsylvania,Dec  4 2021,113,86
Pennsylvania,Dec  3 2021,97,71
Pennsylvania,Dec  2 2021,128,57
Pennsylvania,Dec  1 2021,100,60
Pennsylvania,Nov 30 2021,113,59
Pennsylvania,Nov 29 2021,25,53
Pennsylvania,Nov 28 2021,32,51
Pennsylvania,Nov 27 2021,4,48
Pennsylvania,Nov 26 2021,0,60
Pennsylvania,Nov 25 2021,146,74
Pennsylvania,Nov 24 2021,98,66
Pennsylvania,Nov 23 2021,72,74
Pennsylvania,Nov 22 2021,7,74
Pennsylvania,Nov 21 2021,13,74
Pennsylvania,Nov 20 2021,86,78
Pennsylvania,Nov 19 2021,96,78
Pennsylvania,Nov 18 2021,96,66
Pennsylvania,Nov 17 2021,150,63
Pennsylvania,Nov 16 2021,72,70
Pennsylvania,Nov 15 2021,10,70
Pennsylvania,Nov 14 2021,42,71
Pennsylvania,Nov 13 2021,80,65
Pennsylvania,Nov 12 2021,18,60
Pennsylvania,Nov 11 2021,73,68
Pennsylvania,Nov 10 2021,196,68
Pennsylvania,Nov  9 2021,77,66
Pennsylvania,Nov  8 2021,17,65
Pennsylvania,Nov  7 2021,0,63
Pennsylvania,Nov  6 2021,43,69
Pennsylvania,Nov  5 2021,72,68
Pennsylvania,Nov  4 2021,72,70
Pennsylvania,Nov  3 2021,181,73
Pennsylvania,Nov  2 2021,75,67
Pennsylvania,Nov  1 2021,1,68
Pennsylvania,Oct 31 2021,41,68
Pennsylvania,Oct 30 2021,36,64
Pennsylvania,Oct 29 2021,85,67
Pennsylvania,Oct 28 2021,95,68
Pennsylvania,Oct 27 2021,142,68
Pennsylvania,Oct 26 2021,79,66
Pennsylvania,Oct 25 2021,4,64
Pennsylvania,Oct 24 2021,8,79
Pennsylvania,Oct 23 2021,61,78
Pennsylvania,Oct 22 2021,88,69
Pennsylvania,Oct 21 2021,94,68
Pennsylvania,Oct 20 2021,134,70
Pennsylvania,Oct 19 2021,64,75
Pennsylvania,Oct 18 2021,105,88
Pennsylvania,Oct 17 2021,0,73
Pennsylvania,Oct 16 2021,0,73
Pennsylvania,Oct 15 2021,82,73
Pennsylvania,Oct 14 2021,108,74
Pennsylvania,Oct 13 2021,170,72
Pennsylvania,Oct 12 2021,151,63
Pennsylvania,Oct 11 2021,0,53
Pennsylvania,Oct 10 2021,0,55
Pennsylvania,Oct  9 2021,0,59
Pennsylvania,Oct  8 2021,93,67
Pennsylvania,Oct  7 2021,92,59
Pennsylvania,Oct  6 2021,111,57
Pennsylvania,Oct  5 2021,80,55
Pennsylvania,Oct  4 2021,12,54
Pennsylvania,Oct  3 2021,31,54
Pennsylvania,Oct  2 2021,51,51
Pennsylvania,Oct  1 2021,37,53
Pennsylvania,Sep 30 2021,77,52
Pennsylvania,Sep 29 2021,97,46
Pennsylvania,Sep 28 2021,75,42
Pennsylvania,Sep 27 2021,10,41
Pennsylvania,Sep 26 2021,13,39
Pennsylvania,Sep 25 2021,64,40
Pennsylvania,Sep 24 2021,34,36
Pennsylvania,Sep 23 2021,32,37
Pennsylvania,Sep 22 2021,66,43
Pennsylvania,Sep 21 2021,68,40
Pennsylvania,Sep 20 2021,2,42
Pennsylvania,Sep 19 2021,17,42
Pennsylvania,Sep 18 2021,33,39
Pennsylvania,Sep 17 2021,44,39
Pennsylvania,Sep 16 2021,72,38
Pennsylvania,Sep 15 2021,45,35
Pennsylvania,Sep 14 2021,83,34
Pennsylvania,Sep 13 2021,2,24
