Data Table for Daily Death Trends - Rhode Island
Date generated: Mon Jul 25 2022 09:29:00 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Rhode Island,Jul 21 2022,1,0
Rhode Island,Jul 20 2022,1,0
Rhode Island,Jul 19 2022,0,0
Rhode Island,Jul 18 2022,2,0
Rhode Island,Jul 17 2022,0,0
Rhode Island,Jul 16 2022,0,0
Rhode Island,Jul 15 2022,0,0
Rhode Island,Jul 14 2022,2,1
Rhode Island,Jul 13 2022,1,0
Rhode Island,Jul 12 2022,0,1
Rhode Island,Jul 11 2022,3,1
Rhode Island,Jul 10 2022,0,0
Rhode Island,Jul  9 2022,0,0
Rhode Island,Jul  8 2022,2,0
Rhode Island,Jul  7 2022,0,0
Rhode Island,Jul  6 2022,2,0
Rhode Island,Jul  5 2022,0,0
Rhode Island,Jul  4 2022,0,0
Rhode Island,Jul  3 2022,0,0
Rhode Island,Jul  2 2022,0,0
Rhode Island,Jul  1 2022,2,0
Rhode Island,Jun 30 2022,0,0
Rhode Island,Jun 29 2022,0,0
Rhode Island,Jun 28 2022,3,1
Rhode Island,Jun 27 2022,1,1
Rhode Island,Jun 26 2022,0,1
Rhode Island,Jun 25 2022,0,1
Rhode Island,Jun 24 2022,0,1
Rhode Island,Jun 23 2022,2,1
Rhode Island,Jun 22 2022,2,1
Rhode Island,Jun 21 2022,2,1
Rhode Island,Jun 20 2022,3,1
Rhode Island,Jun 19 2022,0,0
Rhode Island,Jun 18 2022,0,0
Rhode Island,Jun 17 2022,0,0
Rhode Island,Jun 16 2022,1,1
Rhode Island,Jun 15 2022,1,1
Rhode Island,Jun 14 2022,3,1
Rhode Island,Jun 13 2022,1,1
Rhode Island,Jun 12 2022,0,1
Rhode Island,Jun 11 2022,0,1
Rhode Island,Jun 10 2022,6,1
Rhode Island,Jun  9 2022,0,0
Rhode Island,Jun  8 2022,0,0
Rhode Island,Jun  7 2022,1,0
Rhode Island,Jun  6 2022,0,0
Rhode Island,Jun  5 2022,0,0
Rhode Island,Jun  4 2022,0,0
Rhode Island,Jun  3 2022,3,0
Rhode Island,Jun  2 2022,1,1
Rhode Island,Jun  1 2022,0,2
Rhode Island,May 31 2022,2,2
Rhode Island,May 30 2022,0,2
Rhode Island,May 29 2022,0,2
Rhode Island,May 28 2022,0,2
Rhode Island,May 27 2022,8,2
Rhode Island,May 26 2022,4,1
Rhode Island,May 25 2022,0,0
Rhode Island,May 24 2022,3,0
Rhode Island,May 23 2022,0,1
Rhode Island,May 22 2022,0,1
Rhode Island,May 21 2022,0,1
Rhode Island,May 20 2022,1,1
Rhode Island,May 19 2022,0,1
Rhode Island,May 18 2022,2,1
Rhode Island,May 17 2022,5,1
Rhode Island,May 16 2022,1,1
Rhode Island,May 15 2022,0,1
Rhode Island,May 14 2022,1,1
Rhode Island,May 13 2022,4,1
Rhode Island,May 12 2022,0,0
Rhode Island,May 11 2022,1,1
Rhode Island,May 10 2022,1,0
Rhode Island,May  9 2022,0,0
Rhode Island,May  8 2022,0,0
Rhode Island,May  7 2022,2,0
Rhode Island,May  6 2022,2,0
Rhode Island,May  5 2022,1,0
Rhode Island,May  4 2022,0,0
Rhode Island,May  3 2022,1,0
Rhode Island,May  2 2022,0,0
Rhode Island,May  1 2022,0,0
Rhode Island,Apr 30 2022,0,0
Rhode Island,Apr 29 2022,2,1
Rhode Island,Apr 28 2022,0,0
Rhode Island,Apr 27 2022,0,0
Rhode Island,Apr 26 2022,3,0
Rhode Island,Apr 25 2022,1,0
Rhode Island,Apr 24 2022,0,0
Rhode Island,Apr 23 2022,2,0
Rhode Island,Apr 22 2022,0,0
Rhode Island,Apr 21 2022,0,0
Rhode Island,Apr 20 2022,0,0
Rhode Island,Apr 19 2022,3,0
Rhode Island,Apr 18 2022,0,0
Rhode Island,Apr 17 2022,0,0
Rhode Island,Apr 16 2022,2,0
Rhode Island,Apr 15 2022,0,0
Rhode Island,Apr 14 2022,0,0
Rhode Island,Apr 13 2022,0,0
Rhode Island,Apr 12 2022,0,0
Rhode Island,Apr 11 2022,2,0
Rhode Island,Apr 10 2022,0,0
Rhode Island,Apr  9 2022,0,0
Rhode Island,Apr  8 2022,1,0
Rhode Island,Apr  7 2022,0,0
Rhode Island,Apr  6 2022,1,0
Rhode Island,Apr  5 2022,1,0
Rhode Island,Apr  4 2022,0,0
Rhode Island,Apr  3 2022,0,0
Rhode Island,Apr  2 2022,0,0
Rhode Island,Apr  1 2022,0,0
Rhode Island,Mar 31 2022,0,0
Rhode Island,Mar 30 2022,0,0
Rhode Island,Mar 29 2022,1,1
Rhode Island,Mar 28 2022,0,1
Rhode Island,Mar 27 2022,0,1
Rhode Island,Mar 26 2022,0,1
Rhode Island,Mar 25 2022,3,1
Rhode Island,Mar 24 2022,2,0
Rhode Island,Mar 23 2022,2,0
Rhode Island,Mar 22 2022,0,1
Rhode Island,Mar 21 2022,2,1
Rhode Island,Mar 20 2022,0,1
Rhode Island,Mar 19 2022,0,1
Rhode Island,Mar 18 2022,0,1
Rhode Island,Mar 17 2022,2,1
Rhode Island,Mar 16 2022,4,2
Rhode Island,Mar 15 2022,1,2
Rhode Island,Mar 14 2022,0,1
Rhode Island,Mar 13 2022,0,2
Rhode Island,Mar 12 2022,1,2
Rhode Island,Mar 11 2022,0,2
Rhode Island,Mar 10 2022,12,2
Rhode Island,Mar  9 2022,0,7
