Data Table for Daily Death Trends - South Carolina
Date generated: Mon Jul 25 2022 09:29:09 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
South Carolina,Jul 21 2022,0,8
South Carolina,Jul 20 2022,0,8
South Carolina,Jul 19 2022,0,10
South Carolina,Jul 18 2022,0,10
South Carolina,Jul 17 2022,50,10
South Carolina,Jul 16 2022,1,4
South Carolina,Jul 15 2022,11,4
South Carolina,Jul 14 2022,0,3
South Carolina,Jul 13 2022,10,3
South Carolina,Jul 12 2022,0,1
South Carolina,Jul 11 2022,0,1
South Carolina,Jul 10 2022,11,1
South Carolina,Jul  9 2022,0,0
South Carolina,Jul  8 2022,0,0
South Carolina,Jul  7 2022,1,1
South Carolina,Jul  6 2022,0,1
South Carolina,Jul  5 2022,0,1
South Carolina,Jul  4 2022,0,1
South Carolina,Jul  3 2022,0,1
South Carolina,Jul  2 2022,2,1
South Carolina,Jul  1 2022,4,1
South Carolina,Jun 30 2022,1,3
South Carolina,Jun 29 2022,2,3
South Carolina,Jun 28 2022,0,4
South Carolina,Jun 27 2022,0,4
South Carolina,Jun 26 2022,1,4
South Carolina,Jun 25 2022,1,4
South Carolina,Jun 24 2022,19,3
South Carolina,Jun 23 2022,3,1
South Carolina,Jun 22 2022,4,1
South Carolina,Jun 21 2022,0,1
South Carolina,Jun 20 2022,0,1
South Carolina,Jun 19 2022,1,1
South Carolina,Jun 18 2022,0,1
South Carolina,Jun 17 2022,1,4
South Carolina,Jun 16 2022,6,4
South Carolina,Jun 15 2022,2,3
South Carolina,Jun 14 2022,0,3
South Carolina,Jun 13 2022,0,3
South Carolina,Jun 12 2022,1,3
South Carolina,Jun 11 2022,19,10
South Carolina,Jun 10 2022,2,7
South Carolina,Jun  9 2022,2,7
South Carolina,Jun  8 2022,1,8
South Carolina,Jun  7 2022,0,8
South Carolina,Jun  6 2022,0,8
South Carolina,Jun  5 2022,46,8
South Carolina,Jun  4 2022,0,2
South Carolina,Jun  3 2022,3,2
South Carolina,Jun  2 2022,10,1
South Carolina,Jun  1 2022,0,0
South Carolina,May 31 2022,0,0
South Carolina,May 30 2022,0,0
South Carolina,May 29 2022,1,0
South Carolina,May 28 2022,1,0
South Carolina,May 27 2022,1,2
South Carolina,May 26 2022,0,2
South Carolina,May 25 2022,0,2
South Carolina,May 24 2022,0,2
South Carolina,May 23 2022,0,2
South Carolina,May 22 2022,2,2
South Carolina,May 21 2022,14,2
South Carolina,May 20 2022,0,2
South Carolina,May 19 2022,0,2
South Carolina,May 18 2022,1,2
South Carolina,May 17 2022,0,2
South Carolina,May 16 2022,0,2
South Carolina,May 15 2022,0,2
South Carolina,May 14 2022,19,4
South Carolina,May 13 2022,0,1
South Carolina,May 12 2022,0,2
South Carolina,May 11 2022,0,2
South Carolina,May 10 2022,0,2
South Carolina,May  9 2022,0,2
South Carolina,May  8 2022,9,2
South Carolina,May  7 2022,1,12
South Carolina,May  6 2022,8,12
South Carolina,May  5 2022,0,11
South Carolina,May  4 2022,1,11
South Carolina,May  3 2022,0,11
South Carolina,May  2 2022,0,11
South Carolina,May  1 2022,80,11
South Carolina,Apr 30 2022,1,0
South Carolina,Apr 29 2022,0,1
South Carolina,Apr 28 2022,0,2
South Carolina,Apr 27 2022,0,4
South Carolina,Apr 26 2022,1,4
South Carolina,Apr 25 2022,0,4
South Carolina,Apr 24 2022,1,4
South Carolina,Apr 23 2022,8,4
South Carolina,Apr 22 2022,7,3
South Carolina,Apr 21 2022,14,2
South Carolina,Apr 20 2022,2,1
South Carolina,Apr 19 2022,0,5
South Carolina,Apr 18 2022,0,5
South Carolina,Apr 17 2022,2,5
South Carolina,Apr 16 2022,0,7
South Carolina,Apr 15 2022,2,10
South Carolina,Apr 14 2022,2,10
South Carolina,Apr 13 2022,29,10
South Carolina,Apr 12 2022,0,6
South Carolina,Apr 11 2022,0,6
South Carolina,Apr 10 2022,21,6
South Carolina,Apr  9 2022,20,8
South Carolina,Apr  8 2022,1,7
South Carolina,Apr  7 2022,0,9
South Carolina,Apr  6 2022,1,9
South Carolina,Apr  5 2022,1,9
South Carolina,Apr  4 2022,0,9
South Carolina,Apr  3 2022,38,9
South Carolina,Apr  2 2022,11,4
South Carolina,Apr  1 2022,13,4
South Carolina,Mar 31 2022,2,5
South Carolina,Mar 30 2022,3,12
South Carolina,Mar 29 2022,0,13
South Carolina,Mar 28 2022,1,13
South Carolina,Mar 27 2022,0,13
South Carolina,Mar 26 2022,9,13
South Carolina,Mar 25 2022,26,12
South Carolina,Mar 24 2022,51,16
South Carolina,Mar 23 2022,7,15
South Carolina,Mar 22 2022,1,15
South Carolina,Mar 21 2022,0,15
South Carolina,Mar 20 2022,0,15
South Carolina,Mar 19 2022,1,15
South Carolina,Mar 18 2022,56,16
South Carolina,Mar 17 2022,41,13
South Carolina,Mar 16 2022,10,18
South Carolina,Mar 15 2022,0,21
South Carolina,Mar 14 2022,2,26
South Carolina,Mar 13 2022,1,36
