Data Table for Daily Death Trends - South Dakota
Date generated: Mon Jul 25 2022 09:29:17 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
South Dakota,Jul 21 2022,0,0
South Dakota,Jul 20 2022,2,0
South Dakota,Jul 19 2022,0,0
South Dakota,Jul 18 2022,0,0
South Dakota,Jul 17 2022,0,0
South Dakota,Jul 16 2022,0,0
South Dakota,Jul 15 2022,0,0
South Dakota,Jul 14 2022,0,0
South Dakota,Jul 13 2022,5,0
South Dakota,Jul 12 2022,0,0
South Dakota,Jul 11 2022,0,0
South Dakota,Jul 10 2022,0,0
South Dakota,Jul  9 2022,0,0
South Dakota,Jul  8 2022,0,0
South Dakota,Jul  7 2022,0,0
South Dakota,Jul  6 2022,2,0
South Dakota,Jul  5 2022,0,0
South Dakota,Jul  4 2022,0,0
South Dakota,Jul  3 2022,0,0
South Dakota,Jul  2 2022,0,0
South Dakota,Jul  1 2022,0,0
South Dakota,Jun 30 2022,0,0
South Dakota,Jun 29 2022,2,0
South Dakota,Jun 28 2022,0,0
South Dakota,Jun 27 2022,0,0
South Dakota,Jun 26 2022,0,0
South Dakota,Jun 25 2022,0,0
South Dakota,Jun 24 2022,0,0
South Dakota,Jun 23 2022,0,0
South Dakota,Jun 22 2022,5,0
South Dakota,Jun 21 2022,0,0
South Dakota,Jun 20 2022,0,0
South Dakota,Jun 19 2022,0,0
South Dakota,Jun 18 2022,0,0
South Dakota,Jun 17 2022,0,0
South Dakota,Jun 16 2022,0,0
South Dakota,Jun 15 2022,3,0
South Dakota,Jun 14 2022,0,0
South Dakota,Jun 13 2022,0,0
South Dakota,Jun 12 2022,0,0
South Dakota,Jun 11 2022,0,0
South Dakota,Jun 10 2022,0,0
South Dakota,Jun  9 2022,0,0
South Dakota,Jun  8 2022,0,0
South Dakota,Jun  7 2022,0,0
South Dakota,Jun  6 2022,0,0
South Dakota,Jun  5 2022,0,0
South Dakota,Jun  4 2022,0,0
South Dakota,Jun  3 2022,0,0
South Dakota,Jun  2 2022,0,0
South Dakota,Jun  1 2022,1,0
South Dakota,May 31 2022,0,1
South Dakota,May 30 2022,0,1
South Dakota,May 29 2022,0,1
South Dakota,May 28 2022,0,1
South Dakota,May 27 2022,0,1
South Dakota,May 26 2022,0,1
South Dakota,May 25 2022,8,1
South Dakota,May 24 2022,0,0
South Dakota,May 23 2022,0,0
South Dakota,May 22 2022,0,0
