Data Table for Daily Death Trends - Tennessee
Date generated: Mon Jul 25 2022 09:29:25 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Tennessee,Jul 21 2022,24,14
Tennessee,Jul 20 2022,42,11
Tennessee,Jul 19 2022,15,11
Tennessee,Jul 18 2022,3,10
Tennessee,Jul 17 2022,0,11
Tennessee,Jul 16 2022,3,11
Tennessee,Jul 15 2022,11,11
Tennessee,Jul 14 2022,4,10
Tennessee,Jul 13 2022,43,13
Tennessee,Jul 12 2022,12,9
Tennessee,Jul 11 2022,8,8
Tennessee,Jul 10 2022,0,7
Tennessee,Jul  9 2022,3,7
Tennessee,Jul  8 2022,2,7
Tennessee,Jul  7 2022,28,7
Tennessee,Jul  6 2022,15,9
Tennessee,Jul  5 2022,2,9
Tennessee,Jul  4 2022,0,12
Tennessee,Jul  3 2022,0,13
Tennessee,Jul  2 2022,3,13
Tennessee,Jul  1 2022,5,12
Tennessee,Jun 30 2022,44,12
Tennessee,Jun 29 2022,11,6
Tennessee,Jun 28 2022,25,5
Tennessee,Jun 27 2022,3,2
Tennessee,Jun 26 2022,1,2
Tennessee,Jun 25 2022,0,2
Tennessee,Jun 24 2022,2,5
Tennessee,Jun 23 2022,2,6
Tennessee,Jun 22 2022,3,10
Tennessee,Jun 21 2022,3,10
Tennessee,Jun 20 2022,4,11
Tennessee,Jun 19 2022,0,11
Tennessee,Jun 18 2022,21,11
Tennessee,Jun 17 2022,15,8
Tennessee,Jun 16 2022,25,10
Tennessee,Jun 15 2022,5,6
Tennessee,Jun 14 2022,7,8
Tennessee,Jun 13 2022,4,7
Tennessee,Jun 12 2022,0,6
Tennessee,Jun 11 2022,5,6
Tennessee,Jun 10 2022,24,6
Tennessee,Jun  9 2022,2,3
Tennessee,Jun  8 2022,14,3
Tennessee,Jun  7 2022,0,2
Tennessee,Jun  6 2022,3,2
Tennessee,Jun  5 2022,0,2
Tennessee,Jun  4 2022,1,2
Tennessee,Jun  3 2022,1,3
Tennessee,Jun  2 2022,6,7
Tennessee,Jun  1 2022,5,11
Tennessee,May 31 2022,1,10
Tennessee,May 30 2022,0,13
Tennessee,May 29 2022,0,15
Tennessee,May 28 2022,13,15
Tennessee,May 27 2022,29,13
Tennessee,May 26 2022,32,17
Tennessee,May 25 2022,0,14
Tennessee,May 24 2022,23,19
Tennessee,May 23 2022,9,16
Tennessee,May 22 2022,0,15
Tennessee,May 21 2022,2,15
Tennessee,May 20 2022,59,15
Tennessee,May 19 2022,11,7
Tennessee,May 18 2022,32,6
Tennessee,May 17 2022,3,4
Tennessee,May 16 2022,1,8
Tennessee,May 15 2022,0,8
Tennessee,May 14 2022,0,8
Tennessee,May 13 2022,4,8
Tennessee,May 12 2022,5,8
Tennessee,May 11 2022,20,8
Tennessee,May 10 2022,31,6
Tennessee,May  9 2022,0,5
Tennessee,May  8 2022,0,5
Tennessee,May  7 2022,1,5
Tennessee,May  6 2022,2,6
Tennessee,May  5 2022,8,7
Tennessee,May  4 2022,4,6
Tennessee,May  3 2022,24,6
Tennessee,May  2 2022,0,2
Tennessee,May  1 2022,0,3
Tennessee,Apr 30 2022,4,3
Tennessee,Apr 29 2022,12,3
Tennessee,Apr 28 2022,1,3
Tennessee,Apr 27 2022,2,5
Tennessee,Apr 26 2022,0,6
Tennessee,Apr 25 2022,4,6
Tennessee,Apr 24 2022,0,5
Tennessee,Apr 23 2022,6,5
Tennessee,Apr 22 2022,12,4
Tennessee,Apr 21 2022,14,3
Tennessee,Apr 20 2022,6,1
Tennessee,Apr 19 2022,0,9
Tennessee,Apr 18 2022,0,11
Tennessee,Apr 17 2022,0,11
Tennessee,Apr 16 2022,1,11
Tennessee,Apr 15 2022,4,12
Tennessee,Apr 14 2022,2,31
Tennessee,Apr 13 2022,61,32
Tennessee,Apr 12 2022,12,35
Tennessee,Apr 11 2022,1,51
Tennessee,Apr 10 2022,0,54
Tennessee,Apr  9 2022,8,54
Tennessee,Apr  8 2022,139,56
Tennessee,Apr  7 2022,5,38
Tennessee,Apr  6 2022,81,39
Tennessee,Apr  5 2022,125,29
Tennessee,Apr  4 2022,24,21
Tennessee,Apr  3 2022,0,18
Tennessee,Apr  2 2022,24,18
Tennessee,Apr  1 2022,12,14
Tennessee,Mar 31 2022,12,14
Tennessee,Mar 30 2022,9,16
Tennessee,Mar 29 2022,68,16
Tennessee,Mar 28 2022,3,9
Tennessee,Mar 27 2022,0,10
Tennessee,Mar 26 2022,0,10
Tennessee,Mar 25 2022,6,11
Tennessee,Mar 24 2022,31,12
Tennessee,Mar 23 2022,5,10
Tennessee,Mar 22 2022,24,11
Tennessee,Mar 21 2022,4,28
Tennessee,Mar 20 2022,0,28
Tennessee,Mar 19 2022,11,28
Tennessee,Mar 18 2022,15,57
Tennessee,Mar 17 2022,16,81
Tennessee,Mar 16 2022,7,86
Tennessee,Mar 15 2022,145,95
Tennessee,Mar 14 2022,6,77
Tennessee,Mar 13 2022,0,76
Tennessee,Mar 12 2022,214,76
Tennessee,Mar 11 2022,182,50
Tennessee,Mar 10 2022,49,27
Tennessee,Mar  9 2022,72,23
Tennessee,Mar  8 2022,19,26
Tennessee,Mar  7 2022,1,31
Tennessee,Mar  6 2022,1,32
Tennessee,Mar  5 2022,27,32
Tennessee,Mar  4 2022,23,30
Tennessee,Mar  3 2022,23,41
Tennessee,Mar  2 2022,88,75
Tennessee,Mar  1 2022,55,77
Tennessee,Feb 28 2022,12,72
Tennessee,Feb 27 2022,0,71
Tennessee,Feb 26 2022,14,73
Tennessee,Feb 25 2022,95,75
Tennessee,Feb 24 2022,267,66
Tennessee,Feb 23 2022,96,34
Tennessee,Feb 22 2022,21,26
Tennessee,Feb 21 2022,9,23
Tennessee,Feb 20 2022,11,30
Tennessee,Feb 19 2022,26,29
Tennessee,Feb 18 2022,34,36
Tennessee,Feb 17 2022,42,41
Tennessee,Feb 16 2022,40,42
Tennessee,Feb 15 2022,0,45
Tennessee,Feb 14 2022,62,61
Tennessee,Feb 13 2022,3,53
Tennessee,Feb 12 2022,75,53
Tennessee,Feb 11 2022,65,47
Tennessee,Feb 10 2022,49,48
Tennessee,Feb  9 2022,63,51
Tennessee,Feb  8 2022,114,53
Tennessee,Feb  7 2022,6,59
Tennessee,Feb  6 2022,3,64
Tennessee,Feb  5 2022,32,65
Tennessee,Feb  4 2022,74,77
Tennessee,Feb  3 2022,70,77
Tennessee,Feb  2 2022,74,76
Tennessee,Feb  1 2022,156,74
Tennessee,Jan 31 2022,45,64
Tennessee,Jan 30 2022,5,60
Tennessee,Jan 29 2022,118,59
Tennessee,Jan 28 2022,73,59
Tennessee,Jan 27 2022,67,69
Tennessee,Jan 26 2022,57,69
Tennessee,Jan 25 2022,87,75
Tennessee,Jan 24 2022,17,64
Tennessee,Jan 23 2022,0,65
Tennessee,Jan 22 2022,118,67
Tennessee,Jan 21 2022,140,79
Tennessee,Jan 20 2022,69,84
Tennessee,Jan 19 2022,97,84
Tennessee,Jan 18 2022,12,76
Tennessee,Jan 17 2022,20,83
Tennessee,Jan 16 2022,19,85
Tennessee,Jan 15 2022,197,83
Tennessee,Jan 14 2022,177,59
Tennessee,Jan 13 2022,67,38
Tennessee,Jan 12 2022,46,33
Tennessee,Jan 11 2022,58,33
Tennessee,Jan 10 2022,36,32
Tennessee,Jan  9 2022,1,30
Tennessee,Jan  8 2022,30,30
Tennessee,Jan  7 2022,29,26
Tennessee,Jan  6 2022,37,26
Tennessee,Jan  5 2022,46,31
Tennessee,Jan  4 2022,50,30
Tennessee,Jan  3 2022,21,41
Tennessee,Jan  2 2022,0,59
Tennessee,Jan  1 2022,1,61
Tennessee,Dec 31 2021,29,61
Tennessee,Dec 30 2021,75,66
Tennessee,Dec 29 2021,38,57
Tennessee,Dec 28 2021,125,61
Tennessee,Dec 27 2021,146,56
Tennessee,Dec 26 2021,18,39
Tennessee,Dec 25 2021,0,36
Tennessee,Dec 24 2021,61,42
Tennessee,Dec 23 2021,11,40
Tennessee,Dec 22 2021,69,44
Tennessee,Dec 21 2021,91,46
Tennessee,Dec 20 2021,26,40
Tennessee,Dec 19 2021,0,39
Tennessee,Dec 18 2021,42,40
Tennessee,Dec 17 2021,47,36
Tennessee,Dec 16 2021,39,34
Tennessee,Dec 15 2021,82,32
Tennessee,Dec 14 2021,50,24
Tennessee,Dec 13 2021,19,40
Tennessee,Dec 12 2021,4,43
Tennessee,Dec 11 2021,16,43
Tennessee,Dec 10 2021,33,47
Tennessee,Dec  9 2021,20,57
Tennessee,Dec  8 2021,26,68
Tennessee,Dec  7 2021,163,86
Tennessee,Dec  6 2021,45,69
Tennessee,Dec  5 2021,2,65
Tennessee,Dec  4 2021,41,65
Tennessee,Dec  3 2021,103,59
Tennessee,Dec  2 2021,100,45
Tennessee,Dec  1 2021,152,32
Tennessee,Nov 30 2021,43,18
Tennessee,Nov 29 2021,17,20
Tennessee,Nov 28 2021,0,19
Tennessee,Nov 27 2021,2,19
Tennessee,Nov 26 2021,3,21
Tennessee,Nov 25 2021,12,26
Tennessee,Nov 24 2021,51,25
Tennessee,Nov 23 2021,55,25
Tennessee,Nov 22 2021,14,25
Tennessee,Nov 21 2021,0,24
Tennessee,Nov 20 2021,18,24
Tennessee,Nov 19 2021,33,23
Tennessee,Nov 18 2021,7,20
Tennessee,Nov 17 2021,49,22
Tennessee,Nov 16 2021,57,19
Tennessee,Nov 15 2021,4,18
Tennessee,Nov 14 2021,3,19
Tennessee,Nov 13 2021,8,18
Tennessee,Nov 12 2021,12,22
