Data Table for Daily Death Trends - Texas
Date generated: Mon Jul 25 2022 09:29:33 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Texas,Jul 21 2022,16,20
Texas,Jul 20 2022,30,19
Texas,Jul 19 2022,25,18
Texas,Jul 18 2022,1,18
Texas,Jul 17 2022,17,18
Texas,Jul 16 2022,27,17
Texas,Jul 15 2022,24,15
Texas,Jul 14 2022,13,16
Texas,Jul 13 2022,21,17
Texas,Jul 12 2022,24,17
Texas,Jul 11 2022,3,18
Texas,Jul 10 2022,8,18
Texas,Jul  9 2022,17,16
Texas,Jul  8 2022,30,14
Texas,Jul  7 2022,20,13
Texas,Jul  6 2022,20,14
Texas,Jul  5 2022,31,15
Texas,Jul  4 2022,0,11
Texas,Jul  3 2022,0,13
Texas,Jul  2 2022,0,13
Texas,Jul  1 2022,22,16
Texas,Jun 30 2022,27,15
Texas,Jun 29 2022,26,14
Texas,Jun 28 2022,8,13
Texas,Jun 27 2022,10,13
Texas,Jun 26 2022,1,11
Texas,Jun 25 2022,21,13
Texas,Jun 24 2022,14,11
Texas,Jun 23 2022,22,11
Texas,Jun 22 2022,15,9
Texas,Jun 21 2022,10,8
Texas,Jun 20 2022,0,8
Texas,Jun 19 2022,14,8
Texas,Jun 18 2022,3,6
Texas,Jun 17 2022,15,7
Texas,Jun 16 2022,7,6
Texas,Jun 15 2022,10,8
Texas,Jun 14 2022,8,8
Texas,Jun 13 2022,1,9
Texas,Jun 12 2022,2,9
Texas,Jun 11 2022,10,9
Texas,Jun 10 2022,6,9
Texas,Jun  9 2022,19,9
Texas,Jun  8 2022,14,8
Texas,Jun  7 2022,13,6
Texas,Jun  6 2022,0,6
Texas,Jun  5 2022,5,6
Texas,Jun  4 2022,7,5
Texas,Jun  3 2022,10,4
Texas,Jun  2 2022,8,5
Texas,Jun  1 2022,2,4
Texas,May 31 2022,13,7
Texas,May 30 2022,0,5
Texas,May 29 2022,0,5
Texas,May 28 2022,0,6
Texas,May 27 2022,13,6
Texas,May 26 2022,6,5
Texas,May 25 2022,18,7
Texas,May 24 2022,2,6
Texas,May 23 2022,1,7
Texas,May 22 2022,3,7
Texas,May 21 2022,3,7
Texas,May 20 2022,8,8
Texas,May 19 2022,18,9
Texas,May 18 2022,9,8
Texas,May 17 2022,10,11
Texas,May 16 2022,0,11
Texas,May 15 2022,5,11
Texas,May 14 2022,7,10
Texas,May 13 2022,14,11
Texas,May 12 2022,14,12
Texas,May 11 2022,27,12
Texas,May 10 2022,12,9
Texas,May  9 2022,0,9
Texas,May  8 2022,0,9
Texas,May  7 2022,16,10
Texas,May  6 2022,20,10
Texas,May  5 2022,10,9
Texas,May  4 2022,10,10
Texas,May  3 2022,12,11
Texas,May  2 2022,1,12
Texas,May  1 2022,3,12
Texas,Apr 30 2022,15,12
Texas,Apr 29 2022,15,11
Texas,Apr 28 2022,19,12
Texas,Apr 27 2022,16,14
Texas,Apr 26 2022,15,14
Texas,Apr 25 2022,1,16
Texas,Apr 24 2022,6,22
Texas,Apr 23 2022,8,21
Texas,Apr 22 2022,23,20
Texas,Apr 21 2022,31,16
Texas,Apr 20 2022,18,15
Texas,Apr 19 2022,28,16
Texas,Apr 18 2022,41,18
Texas,Apr 17 2022,0,12
Texas,Apr 16 2022,0,12
Texas,Apr 15 2022,0,20
Texas,Apr 14 2022,18,22
Texas,Apr 13 2022,30,25
Texas,Apr 12 2022,38,26
Texas,Apr 11 2022,0,23
Texas,Apr 10 2022,1,23
Texas,Apr  9 2022,59,24
Texas,Apr  8 2022,8,21
Texas,Apr  7 2022,39,26
Texas,Apr  6 2022,38,26
Texas,Apr  5 2022,21,27
Texas,Apr  4 2022,1,29
Texas,Apr  3 2022,8,30
Texas,Apr  2 2022,37,33
Texas,Apr  1 2022,41,37
Texas,Mar 31 2022,42,40
Texas,Mar 30 2022,43,43
Texas,Mar 29 2022,35,47
Texas,Mar 28 2022,9,50
Texas,Mar 27 2022,26,54
Texas,Mar 26 2022,69,51
Texas,Mar 25 2022,62,52
Texas,Mar 24 2022,61,54
Texas,Mar 23 2022,73,61
Texas,Mar 22 2022,55,63
Texas,Mar 21 2022,34,66
Texas,Mar 20 2022,7,62
Texas,Mar 19 2022,73,67
Texas,Mar 18 2022,79,73
