Data Table for Daily Death Trends - Vermont
Date generated: Mon Jul 25 2022 09:29:49 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Vermont,Jul 21 2022,2,0
Vermont,Jul 20 2022,0,0
Vermont,Jul 19 2022,0,0
Vermont,Jul 18 2022,0,0
Vermont,Jul 17 2022,0,0
Vermont,Jul 16 2022,0,0
Vermont,Jul 15 2022,1,0
Vermont,Jul 14 2022,0,0
Vermont,Jul 13 2022,0,0
Vermont,Jul 12 2022,1,0
Vermont,Jul 11 2022,0,0
Vermont,Jul 10 2022,0,0
Vermont,Jul  9 2022,0,0
Vermont,Jul  8 2022,0,0
Vermont,Jul  7 2022,0,0
Vermont,Jul  6 2022,4,0
Vermont,Jul  5 2022,0,0
Vermont,Jul  4 2022,0,0
Vermont,Jul  3 2022,0,0
Vermont,Jul  2 2022,0,0
Vermont,Jul  1 2022,0,0
Vermont,Jun 30 2022,0,0
Vermont,Jun 29 2022,0,0
Vermont,Jun 28 2022,0,0
Vermont,Jun 27 2022,0,0
Vermont,Jun 26 2022,0,0
Vermont,Jun 25 2022,0,0
Vermont,Jun 24 2022,0,0
Vermont,Jun 23 2022,0,0
Vermont,Jun 22 2022,3,0
Vermont,Jun 21 2022,0,0
Vermont,Jun 20 2022,0,0
Vermont,Jun 19 2022,0,0
Vermont,Jun 18 2022,0,0
Vermont,Jun 17 2022,0,0
Vermont,Jun 16 2022,0,0
Vermont,Jun 15 2022,6,0
Vermont,Jun 14 2022,0,0
Vermont,Jun 13 2022,0,0
Vermont,Jun 12 2022,0,0
Vermont,Jun 11 2022,0,0
Vermont,Jun 10 2022,0,0
Vermont,Jun  9 2022,0,0
Vermont,Jun  8 2022,0,0
Vermont,Jun  7 2022,0,0
Vermont,Jun  6 2022,3,0
Vermont,Jun  5 2022,0,0
Vermont,Jun  4 2022,0,0
Vermont,Jun  3 2022,0,0
Vermont,Jun  2 2022,3,0
Vermont,Jun  1 2022,0,0
Vermont,May 31 2022,0,0
Vermont,May 30 2022,0,0
Vermont,May 29 2022,0,1
Vermont,May 28 2022,0,1
Vermont,May 27 2022,0,1
Vermont,May 26 2022,5,1
Vermont,May 25 2022,0,1
Vermont,May 24 2022,0,1
Vermont,May 23 2022,7,1
Vermont,May 22 2022,0,0
Vermont,May 21 2022,0,0
Vermont,May 20 2022,0,0
Vermont,May 19 2022,0,0
Vermont,May 18 2022,0,0
Vermont,May 17 2022,2,0
Vermont,May 16 2022,4,1
Vermont,May 15 2022,0,0
Vermont,May 14 2022,0,0
Vermont,May 13 2022,0,0
Vermont,May 12 2022,0,0
Vermont,May 11 2022,0,1
Vermont,May 10 2022,4,1
Vermont,May  9 2022,2,0
Vermont,May  8 2022,0,1
Vermont,May  7 2022,0,1
Vermont,May  6 2022,0,1
Vermont,May  5 2022,2,1
Vermont,May  4 2022,0,1
Vermont,May  3 2022,0,1
Vermont,May  2 2022,5,1
Vermont,May  1 2022,0,1
Vermont,Apr 30 2022,0,1
Vermont,Apr 29 2022,0,1
Vermont,Apr 28 2022,4,1
Vermont,Apr 27 2022,0,0
