Data Table for Daily Death Trends - Virginia
Date generated: Mon Jul 25 2022 09:30:01 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Virginia,Jul 21 2022,14,9
Virginia,Jul 20 2022,13,9
Virginia,Jul 19 2022,16,9
Virginia,Jul 18 2022,12,9
Virginia,Jul 17 2022,0,10
Virginia,Jul 16 2022,0,10
Virginia,Jul 15 2022,11,10
Virginia,Jul 14 2022,14,8
Virginia,Jul 13 2022,15,10
Virginia,Jul 12 2022,15,11
Virginia,Jul 11 2022,17,12
Virginia,Jul 10 2022,0,12
Virginia,Jul  9 2022,0,12
Virginia,Jul  8 2022,0,12
Virginia,Jul  7 2022,24,15
Virginia,Jul  6 2022,25,16
Virginia,Jul  5 2022,18,17
Virginia,Jul  4 2022,21,16
Virginia,Jul  3 2022,0,18
Virginia,Jul  2 2022,0,18
Virginia,Jul  1 2022,22,18
Virginia,Jun 30 2022,32,15
Virginia,Jun 29 2022,27,14
Virginia,Jun 28 2022,13,12
Virginia,Jun 27 2022,38,12
Virginia,Jun 26 2022,0,9
Virginia,Jun 25 2022,0,9
Virginia,Jun 24 2022,1,9
Virginia,Jun 23 2022,21,9
Virginia,Jun 22 2022,15,6
Virginia,Jun 21 2022,15,5
Virginia,Jun 20 2022,12,3
Virginia,Jun 19 2022,0,2
Virginia,Jun 18 2022,0,2
Virginia,Jun 17 2022,3,2
Virginia,Jun 16 2022,3,1
Virginia,Jun 15 2022,2,1
Virginia,Jun 14 2022,5,1
Virginia,Jun 13 2022,2,1
Virginia,Jun 12 2022,0,1
Virginia,Jun 11 2022,0,1
Virginia,Jun 10 2022,0,1
Virginia,Jun  9 2022,1,2
Virginia,Jun  8 2022,4,4
Virginia,Jun  7 2022,1,5
Virginia,Jun  6 2022,4,6
Virginia,Jun  5 2022,0,7
Virginia,Jun  4 2022,0,7
Virginia,Jun  3 2022,6,7
Virginia,Jun  2 2022,15,7
Virginia,Jun  1 2022,9,5
Virginia,May 31 2022,12,6
Virginia,May 30 2022,10,5
Virginia,May 29 2022,0,5
Virginia,May 28 2022,0,5
Virginia,May 27 2022,3,5
Virginia,May 26 2022,6,5
Virginia,May 25 2022,12,5
Virginia,May 24 2022,10,4
Virginia,May 23 2022,9,2
Virginia,May 22 2022,0,2
Virginia,May 21 2022,0,2
Virginia,May 20 2022,1,2
Virginia,May 19 2022,5,2
Virginia,May 18 2022,5,3
Virginia,May 17 2022,0,3
Virginia,May 16 2022,7,4
Virginia,May 15 2022,0,4
Virginia,May 14 2022,0,4
Virginia,May 13 2022,3,4
Virginia,May 12 2022,8,5
Virginia,May 11 2022,9,5
Virginia,May 10 2022,6,6
Virginia,May  9 2022,7,6
Virginia,May  8 2022,0,7
Virginia,May  7 2022,0,7
Virginia,May  6 2022,8,7
Virginia,May  5 2022,10,6
Virginia,May  4 2022,14,7
Virginia,May  3 2022,9,7
Virginia,May  2 2022,10,8
Virginia,May  1 2022,0,12
Virginia,Apr 30 2022,0,12
Virginia,Apr 29 2022,1,12
Virginia,Apr 28 2022,16,12
Virginia,Apr 27 2022,18,13
Virginia,Apr 26 2022,15,14
Virginia,Apr 25 2022,38,16
Virginia,Apr 24 2022,0,14
Virginia,Apr 23 2022,0,14
Virginia,Apr 22 2022,0,14
Virginia,Apr 21 2022,25,18
Virginia,Apr 20 2022,25,19
Virginia,Apr 19 2022,28,20
Virginia,Apr 18 2022,26,21
Virginia,Apr 17 2022,0,23
Virginia,Apr 16 2022,0,23
Virginia,Apr 15 2022,22,23
Virginia,Apr 14 2022,35,23
Virginia,Apr 13 2022,34,23
Virginia,Apr 12 2022,36,23
Virginia,Apr 11 2022,34,23
Virginia,Apr 10 2022,0,23
Virginia,Apr  9 2022,0,23
Virginia,Apr  8 2022,25,23
Virginia,Apr  7 2022,36,20
Virginia,Apr  6 2022,34,18
Virginia,Apr  5 2022,35,16
