Data Table for Daily Death Trends - Washington
Date generated: Mon Jul 25 2022 09:30:09 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Washington,Jul 21 2022,17,14
Washington,Jul 20 2022,32,15
Washington,Jul 19 2022,14,13
Washington,Jul 18 2022,29,14
Washington,Jul 17 2022,0,12
Washington,Jul 16 2022,0,12
Washington,Jul 15 2022,10,12
Washington,Jul 14 2022,20,13
Washington,Jul 13 2022,24,14
Washington,Jul 12 2022,18,12
Washington,Jul 11 2022,18,12
Washington,Jul 10 2022,0,9
Washington,Jul  9 2022,0,9
Washington,Jul  8 2022,17,9
Washington,Jul  7 2022,24,12
Washington,Jul  6 2022,13,9
Washington,Jul  5 2022,15,11
Washington,Jul  4 2022,0,10
Washington,Jul  3 2022,0,12
Washington,Jul  2 2022,0,12
Washington,Jul  1 2022,36,12
Washington,Jun 30 2022,0,9
Washington,Jun 29 2022,29,11
Washington,Jun 28 2022,11,11
Washington,Jun 27 2022,13,12
Washington,Jun 26 2022,0,10
Washington,Jun 25 2022,0,10
Washington,Jun 24 2022,13,10
Washington,Jun 23 2022,17,11
Washington,Jun 22 2022,26,10
Washington,Jun 21 2022,15,9
Washington,Jun 20 2022,0,8
Washington,Jun 19 2022,0,9
Washington,Jun 18 2022,0,9
Washington,Jun 17 2022,19,9
Washington,Jun 16 2022,12,8
Washington,Jun 15 2022,21,9
Washington,Jun 14 2022,7,8
Washington,Jun 13 2022,10,10
Washington,Jun 12 2022,0,11
Washington,Jun 11 2022,0,11
Washington,Jun 10 2022,12,11
Washington,Jun  9 2022,14,10
Washington,Jun  8 2022,15,10
Washington,Jun  7 2022,19,10
Washington,Jun  6 2022,18,9
Washington,Jun  5 2022,0,7
Washington,Jun  4 2022,0,7
Washington,Jun  3 2022,10,7
Washington,Jun  2 2022,12,8
Washington,Jun  1 2022,17,8
Washington,May 31 2022,10,7
Washington,May 30 2022,0,6
Washington,May 29 2022,0,8
Washington,May 28 2022,0,8
Washington,May 27 2022,18,8
Washington,May 26 2022,13,9
Washington,May 25 2022,10,7
Washington,May 24 2022,6,8
Washington,May 23 2022,9,8
Washington,May 22 2022,0,10
Washington,May 21 2022,0,10
Washington,May 20 2022,30,10
Washington,May 19 2022,0,7
Washington,May 18 2022,16,9
Washington,May 17 2022,5,9
Washington,May 16 2022,21,10
Washington,May 15 2022,0,8
Washington,May 14 2022,0,8
Washington,May 13 2022,11,8
Washington,May 12 2022,10,8
Washington,May 11 2022,18,7
Washington,May 10 2022,10,6
Washington,May  9 2022,11,5
Washington,May  8 2022,0,4
Washington,May  7 2022,0,4
Washington,May  6 2022,7,4
Washington,May  5 2022,8,4
Washington,May  4 2022,8,4
Washington,May  3 2022,2,5
Washington,May  2 2022,3,5
Washington,May  1 2022,0,6
Washington,Apr 30 2022,0,6
Washington,Apr 29 2022,9,6
Washington,Apr 28 2022,8,5
Washington,Apr 27 2022,14,5
Washington,Apr 26 2022,4,4
Washington,Apr 25 2022,11,6
Washington,Apr 24 2022,0,5
Washington,Apr 23 2022,0,5
Washington,Apr 22 2022,0,5
Washington,Apr 21 2022,10,8
Washington,Apr 20 2022,5,8
Washington,Apr 19 2022,19,8
Washington,Apr 18 2022,7,8
Washington,Apr 17 2022,0,7
Washington,Apr 16 2022,0,7
Washington,Apr 15 2022,17,7
Washington,Apr 14 2022,13,6
Washington,Apr 13 2022,4,6
Washington,Apr 12 2022,19,8
Washington,Apr 11 2022,0,7
Washington,Apr 10 2022,0,8
Washington,Apr  9 2022,0,8
Washington,Apr  8 2022,12,8
Washington,Apr  7 2022,10,8
Washington,Apr  6 2022,17,9
Washington,Apr  5 2022,12,9
Washington,Apr  4 2022,5,8
Washington,Apr  3 2022,0,11
Washington,Apr  2 2022,0,11
Washington,Apr  1 2022,16,11
Washington,Mar 31 2022,16,14
Washington,Mar 30 2022,18,12
Washington,Mar 29 2022,6,11
Washington,Mar 28 2022,22,14
Washington,Mar 27 2022,0,14
Washington,Mar 26 2022,0,14
Washington,Mar 25 2022,40,14
Washington,Mar 24 2022,0,13
Washington,Mar 23 2022,13,17
Washington,Mar 22 2022,24,22
Washington,Mar 21 2022,22,19
Washington,Mar 20 2022,0,21
Washington,Mar 19 2022,0,21
Washington,Mar 18 2022,32,21
Washington,Mar 17 2022,28,24
Washington,Mar 16 2022,54,20
Washington,Mar 15 2022,0,16
Washington,Mar 14 2022,36,20
Washington,Mar 13 2022,0,22
Washington,Mar 12 2022,0,22
Washington,Mar 11 2022,50,22
Washington,Mar 10 2022,0,25
Washington,Mar  9 2022,28,25
Washington,Mar  8 2022,29,26
Washington,Mar  7 2022,51,30
Washington,Mar  6 2022,0,27
Washington,Mar  5 2022,0,27
Washington,Mar  4 2022,71,27
Washington,Mar  3 2022,0,31
Washington,Mar  2 2022,35,31
Washington,Mar  1 2022,53,43
Washington,Feb 28 2022,35,35
Washington,Feb 27 2022,0,30
Washington,Feb 26 2022,0,30
Washington,Feb 25 2022,99,30
Washington,Feb 24 2022,0,30
Washington,Feb 23 2022,117,30
Washington,Feb 22 2022,0,34
Washington,Feb 21 2022,0,34
Washington,Feb 20 2022,0,42
Washington,Feb 19 2022,0,42
Washington,Feb 18 2022,93,42
Washington,Feb 17 2022,0,46
Washington,Feb 16 2022,149,46
Washington,Feb 15 2022,0,39
Washington,Feb 14 2022,57,39
Washington,Feb 13 2022,0,49
Washington,Feb 12 2022,0,49
Washington,Feb 11 2022,122,49
Washington,Feb 10 2022,0,49
Washington,Feb  9 2022,95,49
Washington,Feb  8 2022,0,46
Washington,Feb  7 2022,132,46
Washington,Feb  6 2022,0,38
Washington,Feb  5 2022,0,38
Washington,Feb  4 2022,122,38
Washington,Feb  3 2022,0,28
Washington,Feb  2 2022,69,37
Washington,Feb  1 2022,0,33
Washington,Jan 31 2022,77,45
Washington,Jan 30 2022,0,42
Washington,Jan 29 2022,0,42
Washington,Jan 28 2022,52,42
Washington,Jan 27 2022,67,44
Washington,Jan 26 2022,40,50
Washington,Jan 25 2022,82,44
Washington,Jan 24 2022,53,37
Washington,Jan 23 2022,0,29
Washington,Jan 22 2022,0,29
Washington,Jan 21 2022,66,29
Washington,Jan 20 2022,109,28
Washington,Jan 19 2022,0,18
Washington,Jan 18 2022,34,29
Washington,Jan 17 2022,0,24
Washington,Jan 16 2022,0,27
Washington,Jan 15 2022,0,27
Washington,Jan 14 2022,53,27
Washington,Jan 13 2022,40,24
Washington,Jan 12 2022,77,28
Washington,Jan 11 2022,0,17
Washington,Jan 10 2022,24,25
Washington,Jan  9 2022,0,21
Washington,Jan  8 2022,0,21
Washington,Jan  7 2022,30,21
Washington,Jan  6 2022,65,17
Washington,Jan  5 2022,0,10
Washington,Jan  4 2022,56,12
Washington,Jan  3 2022,0,7
Washington,Jan  2 2022,0,9
Washington,Jan  1 2022,0,9
Washington,Dec 31 2021,0,9
Washington,Dec 30 2021,14,9
Washington,Dec 29 2021,17,12
Washington,Dec 28 2021,21,13
Washington,Dec 27 2021,17,15
Washington,Dec 26 2021,0,15
Washington,Dec 25 2021,0,15
Washington,Dec 24 2021,0,15
Washington,Dec 23 2021,29,18
Washington,Dec 22 2021,30,17
Washington,Dec 21 2021,30,16
Washington,Dec 20 2021,21,16
Washington,Dec 19 2021,0,17
Washington,Dec 18 2021,0,17
Washington,Dec 17 2021,21,17
Washington,Dec 16 2021,18,16
Washington,Dec 15 2021,27,19
Washington,Dec 14 2021,28,21
