Data Table for Daily Death Trends - West Virginia
Date generated: Mon Jul 25 2022 09:30:19 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
West Virginia,Jul 21 2022,6,3
West Virginia,Jul 20 2022,9,2
West Virginia,Jul 19 2022,4,2
West Virginia,Jul 18 2022,0,1
West Virginia,Jul 17 2022,0,4
West Virginia,Jul 16 2022,0,4
West Virginia,Jul 15 2022,3,4
West Virginia,Jul 14 2022,0,4
West Virginia,Jul 13 2022,8,4
West Virginia,Jul 12 2022,0,3
West Virginia,Jul 11 2022,22,3
West Virginia,Jul 10 2022,0,0
West Virginia,Jul  9 2022,0,0
West Virginia,Jul  8 2022,0,0
West Virginia,Jul  7 2022,0,0
West Virginia,Jul  6 2022,0,1
West Virginia,Jul  5 2022,5,1
West Virginia,Jul  4 2022,0,1
West Virginia,Jul  3 2022,0,1
West Virginia,Jul  2 2022,0,1
West Virginia,Jul  1 2022,0,1
West Virginia,Jun 30 2022,5,1
West Virginia,Jun 29 2022,2,5
West Virginia,Jun 28 2022,1,5
West Virginia,Jun 27 2022,0,5
West Virginia,Jun 26 2022,0,5
West Virginia,Jun 25 2022,0,5
West Virginia,Jun 24 2022,2,5
West Virginia,Jun 23 2022,36,5
West Virginia,Jun 22 2022,0,0
West Virginia,Jun 21 2022,1,0
West Virginia,Jun 20 2022,0,2
West Virginia,Jun 19 2022,0,2
West Virginia,Jun 18 2022,0,2
West Virginia,Jun 17 2022,0,2
West Virginia,Jun 16 2022,1,2
West Virginia,Jun 15 2022,3,2
West Virginia,Jun 14 2022,12,2
West Virginia,Jun 13 2022,2,2
West Virginia,Jun 12 2022,0,2
West Virginia,Jun 11 2022,0,2
West Virginia,Jun 10 2022,1,2
West Virginia,Jun  9 2022,1,2
West Virginia,Jun  8 2022,4,3
West Virginia,Jun  7 2022,6,5
West Virginia,Jun  6 2022,3,4
West Virginia,Jun  5 2022,0,4
West Virginia,Jun  4 2022,0,4
West Virginia,Jun  3 2022,3,4
West Virginia,Jun  2 2022,9,4
West Virginia,Jun  1 2022,14,4
West Virginia,May 31 2022,3,2
West Virginia,May 30 2022,0,3
West Virginia,May 29 2022,0,4
West Virginia,May 28 2022,0,4
West Virginia,May 27 2022,3,4
