Data Table for Daily Death Trends - Wisconsin
Date generated: Mon Jul 25 2022 09:30:28 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Wisconsin,Jul 21 2022,9,3
Wisconsin,Jul 20 2022,5,2
Wisconsin,Jul 19 2022,3,2
Wisconsin,Jul 18 2022,4,2
Wisconsin,Jul 17 2022,0,2
Wisconsin,Jul 16 2022,0,2
Wisconsin,Jul 15 2022,5,2
Wisconsin,Jul 14 2022,1,2
Wisconsin,Jul 13 2022,7,3
Wisconsin,Jul 12 2022,2,3
Wisconsin,Jul 11 2022,4,3
Wisconsin,Jul 10 2022,0,4
Wisconsin,Jul  9 2022,0,4
Wisconsin,Jul  8 2022,0,4
Wisconsin,Jul  7 2022,10,5
Wisconsin,Jul  6 2022,7,4
Wisconsin,Jul  5 2022,0,5
Wisconsin,Jul  4 2022,12,6
Wisconsin,Jul  3 2022,0,5
Wisconsin,Jul  2 2022,0,5
Wisconsin,Jul  1 2022,10,5
Wisconsin,Jun 30 2022,5,5
Wisconsin,Jun 29 2022,14,6
Wisconsin,Jun 28 2022,6,5
Wisconsin,Jun 27 2022,5,4
Wisconsin,Jun 26 2022,0,4
Wisconsin,Jun 25 2022,0,4
Wisconsin,Jun 24 2022,11,4
Wisconsin,Jun 23 2022,10,5
Wisconsin,Jun 22 2022,6,5
Wisconsin,Jun 21 2022,1,5
Wisconsin,Jun 20 2022,4,7
Wisconsin,Jun 19 2022,0,7
Wisconsin,Jun 18 2022,0,7
Wisconsin,Jun 17 2022,15,7
Wisconsin,Jun 16 2022,9,5
Wisconsin,Jun 15 2022,12,5
Wisconsin,Jun 14 2022,9,5
Wisconsin,Jun 13 2022,6,4
Wisconsin,Jun 12 2022,0,6
Wisconsin,Jun 11 2022,0,6
Wisconsin,Jun 10 2022,4,6
Wisconsin,Jun  9 2022,9,6
Wisconsin,Jun  8 2022,11,7
Wisconsin,Jun  7 2022,4,8
Wisconsin,Jun  6 2022,17,8
Wisconsin,Jun  5 2022,0,6
Wisconsin,Jun  4 2022,0,6
Wisconsin,Jun  3 2022,2,6
Wisconsin,Jun  2 2022,17,7
Wisconsin,Jun  1 2022,20,6
Wisconsin,May 31 2022,0,10
Wisconsin,May 30 2022,6,10
Wisconsin,May 29 2022,0,9
Wisconsin,May 28 2022,0,9
Wisconsin,May 27 2022,10,9
Wisconsin,May 26 2022,11,10
Wisconsin,May 25 2022,46,9
Wisconsin,May 24 2022,1,3
Wisconsin,May 23 2022,0,3
Wisconsin,May 22 2022,0,4
Wisconsin,May 21 2022,0,4
Wisconsin,May 20 2022,13,4
Wisconsin,May 19 2022,4,2
Wisconsin,May 18 2022,6,3
Wisconsin,May 17 2022,3,3
Wisconsin,May 16 2022,3,4
Wisconsin,May 15 2022,0,5
Wisconsin,May 14 2022,0,5
Wisconsin,May 13 2022,2,5
Wisconsin,May 12 2022,9,7
Wisconsin,May 11 2022,6,7
Wisconsin,May 10 2022,10,8
Wisconsin,May  9 2022,11,8
Wisconsin,May  8 2022,0,7
Wisconsin,May  7 2022,0,7
Wisconsin,May  6 2022,15,7
Wisconsin,May  5 2022,7,5
Wisconsin,May  4 2022,18,4
Wisconsin,May  3 2022,9,1
Wisconsin,May  2 2022,2,1
Wisconsin,May  1 2022,0,1
Wisconsin,Apr 30 2022,0,1
Wisconsin,Apr 29 2022,2,1
Wisconsin,Apr 28 2022,0,1
Wisconsin,Apr 27 2022,0,1
Wisconsin,Apr 26 2022,6,2
Wisconsin,Apr 25 2022,2,2
Wisconsin,Apr 24 2022,0,1
Wisconsin,Apr 23 2022,0,1
Wisconsin,Apr 22 2022,1,1
Wisconsin,Apr 21 2022,3,2
Wisconsin,Apr 20 2022,4,2
Wisconsin,Apr 19 2022,4,3
Wisconsin,Apr 18 2022,1,6
Wisconsin,Apr 17 2022,0,6
Wisconsin,Apr 16 2022,0,6
Wisconsin,Apr 15 2022,7,6
Wisconsin,Apr 14 2022,3,6
Wisconsin,Apr 13 2022,8,6
Wisconsin,Apr 12 2022,23,5
Wisconsin,Apr 11 2022,5,4
Wisconsin,Apr 10 2022,0,4
Wisconsin,Apr  9 2022,0,4
Wisconsin,Apr  8 2022,4,4
Wisconsin,Apr  7 2022,5,5
Wisconsin,Apr  6 2022,1,5
