Data Table for Daily Death Trends - Wyoming
Date generated: Mon Jul 25 2022 09:30:37 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Wyoming,Jul 21 2022,0,0
Wyoming,Jul 20 2022,0,0
Wyoming,Jul 19 2022,5,0
Wyoming,Jul 18 2022,0,1
Wyoming,Jul 17 2022,0,1
Wyoming,Jul 16 2022,0,1
Wyoming,Jul 15 2022,0,1
Wyoming,Jul 14 2022,0,1
Wyoming,Jul 13 2022,0,1
Wyoming,Jul 12 2022,11,1
Wyoming,Jul 11 2022,0,0
Wyoming,Jul 10 2022,0,0
Wyoming,Jul  9 2022,0,0
Wyoming,Jul  8 2022,0,0
Wyoming,Jul  7 2022,0,0
Wyoming,Jul  6 2022,0,0
Wyoming,Jul  5 2022,0,0
Wyoming,Jul  4 2022,0,0
Wyoming,Jul  3 2022,0,0
Wyoming,Jul  2 2022,0,0
Wyoming,Jul  1 2022,0,0
Wyoming,Jun 30 2022,0,0
Wyoming,Jun 29 2022,0,0
Wyoming,Jun 28 2022,5,0
Wyoming,Jun 27 2022,0,0
Wyoming,Jun 26 2022,0,0
Wyoming,Jun 25 2022,0,0
Wyoming,Jun 24 2022,0,0
Wyoming,Jun 23 2022,0,0
Wyoming,Jun 22 2022,0,0
Wyoming,Jun 21 2022,5,0
Wyoming,Jun 20 2022,0,0
Wyoming,Jun 19 2022,0,0
Wyoming,Jun 18 2022,0,0
Wyoming,Jun 17 2022,0,0
Wyoming,Jun 16 2022,0,0
Wyoming,Jun 15 2022,0,0
Wyoming,Jun 14 2022,0,0
Wyoming,Jun 13 2022,0,0
Wyoming,Jun 12 2022,0,0
Wyoming,Jun 11 2022,0,0
Wyoming,Jun 10 2022,0,0
Wyoming,Jun  9 2022,0,0
Wyoming,Jun  8 2022,0,0
Wyoming,Jun  7 2022,4,0
Wyoming,Jun  6 2022,0,0
Wyoming,Jun  5 2022,0,0
Wyoming,Jun  4 2022,0,0
Wyoming,Jun  3 2022,0,0
Wyoming,Jun  2 2022,0,0
Wyoming,Jun  1 2022,0,0
Wyoming,May 31 2022,0,0
Wyoming,May 30 2022,0,0
Wyoming,May 29 2022,0,0
Wyoming,May 28 2022,0,0
Wyoming,May 27 2022,0,0
Wyoming,May 26 2022,0,0
Wyoming,May 25 2022,0,0
Wyoming,May 24 2022,0,0
Wyoming,May 23 2022,0,0
Wyoming,May 22 2022,0,0
Wyoming,May 21 2022,0,0
Wyoming,May 20 2022,0,0
Wyoming,May 19 2022,0,0
Wyoming,May 18 2022,0,0
Wyoming,May 17 2022,3,0
Wyoming,May 16 2022,0,0
Wyoming,May 15 2022,0,0
Wyoming,May 14 2022,0,0
Wyoming,May 13 2022,0,0
Wyoming,May 12 2022,0,0
Wyoming,May 11 2022,0,0
Wyoming,May 10 2022,3,0
Wyoming,May  9 2022,0,0
Wyoming,May  8 2022,0,0
Wyoming,May  7 2022,0,0
Wyoming,May  6 2022,0,0
Wyoming,May  5 2022,0,0
Wyoming,May  4 2022,0,0
Wyoming,May  3 2022,2,0
Wyoming,May  2 2022,0,0
Wyoming,May  1 2022,0,0
Wyoming,Apr 30 2022,0,0
Wyoming,Apr 29 2022,0,0
Wyoming,Apr 28 2022,0,0
Wyoming,Apr 27 2022,0,0
Wyoming,Apr 26 2022,5,0
Wyoming,Apr 25 2022,0,0
Wyoming,Apr 24 2022,0,0
Wyoming,Apr 23 2022,0,0
Wyoming,Apr 22 2022,0,0
Wyoming,Apr 21 2022,0,0
Wyoming,Apr 20 2022,0,0
Wyoming,Apr 19 2022,6,0
Wyoming,Apr 18 2022,0,0
Wyoming,Apr 17 2022,0,0
Wyoming,Apr 16 2022,0,0
Wyoming,Apr 15 2022,0,0
Wyoming,Apr 14 2022,0,0
Wyoming,Apr 13 2022,0,0
Wyoming,Apr 12 2022,5,0
Wyoming,Apr 11 2022,0,0
Wyoming,Apr 10 2022,0,0
Wyoming,Apr  9 2022,0,0
Wyoming,Apr  8 2022,0,0
Wyoming,Apr  7 2022,0,0
Wyoming,Apr  6 2022,0,0
Wyoming,Apr  5 2022,5,0
Wyoming,Apr  4 2022,0,1
Wyoming,Apr  3 2022,0,1
Wyoming,Apr  2 2022,0,1
Wyoming,Apr  1 2022,0,1
Wyoming,Mar 31 2022,0,1
Wyoming,Mar 30 2022,0,1
Wyoming,Mar 29 2022,8,1
Wyoming,Mar 28 2022,0,2
Wyoming,Mar 27 2022,0,2
Wyoming,Mar 26 2022,0,2
Wyoming,Mar 25 2022,0,2
Wyoming,Mar 24 2022,0,2
Wyoming,Mar 23 2022,0,2
Wyoming,Mar 22 2022,14,2
Wyoming,Mar 21 2022,0,2
Wyoming,Mar 20 2022,0,2
Wyoming,Mar 19 2022,0,2
Wyoming,Mar 18 2022,0,2
Wyoming,Mar 17 2022,0,2
Wyoming,Mar 16 2022,0,2
Wyoming,Mar 15 2022,20,2
Wyoming,Mar 14 2022,0,1
Wyoming,Mar 13 2022,0,1
Wyoming,Mar 12 2022,0,1
Wyoming,Mar 11 2022,0,1
Wyoming,Mar 10 2022,0,1
Wyoming,Mar  9 2022,0,1
Wyoming,Mar  8 2022,8,1
Wyoming,Mar  7 2022,0,3
Wyoming,Mar  6 2022,0,3
Wyoming,Mar  5 2022,0,3
Wyoming,Mar  4 2022,0,3
Wyoming,Mar  3 2022,0,3
Wyoming,Mar  2 2022,0,3
Wyoming,Mar  1 2022,23,3
Wyoming,Feb 28 2022,0,4
Wyoming,Feb 27 2022,0,4
Wyoming,Feb 26 2022,0,4
Wyoming,Feb 25 2022,0,4
Wyoming,Feb 24 2022,0,4
Wyoming,Feb 23 2022,0,4
Wyoming,Feb 22 2022,29,4
Wyoming,Feb 21 2022,0,3
Wyoming,Feb 20 2022,0,3
Wyoming,Feb 19 2022,0,3
Wyoming,Feb 18 2022,0,3
Wyoming,Feb 17 2022,0,3
Wyoming,Feb 16 2022,0,3
Wyoming,Feb 15 2022,22,3
Wyoming,Feb 14 2022,0,2
Wyoming,Feb 13 2022,0,2
Wyoming,Feb 12 2022,0,2
Wyoming,Feb 11 2022,0,2
Wyoming,Feb 10 2022,0,2
Wyoming,Feb  9 2022,0,2
Wyoming,Feb  8 2022,17,2
Wyoming,Feb  7 2022,0,3
Wyoming,Feb  6 2022,0,3
Wyoming,Feb  5 2022,0,3
Wyoming,Feb  4 2022,0,3
Wyoming,Feb  3 2022,0,3
Wyoming,Feb  2 2022,0,3
Wyoming,Feb  1 2022,25,3
Wyoming,Jan 31 2022,0,3
Wyoming,Jan 30 2022,0,3
Wyoming,Jan 29 2022,0,3
Wyoming,Jan 28 2022,0,3
Wyoming,Jan 27 2022,0,3
Wyoming,Jan 26 2022,0,3
Wyoming,Jan 25 2022,24,3
Wyoming,Jan 24 2022,0,1
Wyoming,Jan 23 2022,0,1
Wyoming,Jan 22 2022,0,1
Wyoming,Jan 21 2022,0,1
Wyoming,Jan 20 2022,0,1
Wyoming,Jan 19 2022,0,1
Wyoming,Jan 18 2022,13,1
Wyoming,Jan 17 2022,0,2
Wyoming,Jan 16 2022,0,2
Wyoming,Jan 15 2022,0,2
Wyoming,Jan 14 2022,0,2
Wyoming,Jan 13 2022,0,2
Wyoming,Jan 12 2022,0,2
Wyoming,Jan 11 2022,16,2
Wyoming,Jan 10 2022,0,6
Wyoming,Jan  9 2022,0,6
Wyoming,Jan  8 2022,0,6
Wyoming,Jan  7 2022,0,6
Wyoming,Jan  6 2022,0,6
Wyoming,Jan  5 2022,0,6
Wyoming,Jan  4 2022,46,6
Wyoming,Jan  3 2022,0,0
Wyoming,Jan  2 2022,0,0
Wyoming,Jan  1 2022,0,0
Wyoming,Dec 31 2021,0,0
Wyoming,Dec 30 2021,0,0
Wyoming,Dec 29 2021,0,0
Wyoming,Dec 28 2021,0,0
Wyoming,Dec 27 2021,0,3
Wyoming,Dec 26 2021,0,3
Wyoming,Dec 25 2021,0,3
Wyoming,Dec 24 2021,0,3
Wyoming,Dec 23 2021,0,3
Wyoming,Dec 22 2021,0,3
Wyoming,Dec 21 2021,24,3
Wyoming,Dec 20 2021,0,4
Wyoming,Dec 19 2021,0,4
Wyoming,Dec 18 2021,0,4
Wyoming,Dec 17 2021,0,4
Wyoming,Dec 16 2021,0,4
Wyoming,Dec 15 2021,0,4
Wyoming,Dec 14 2021,30,4
Wyoming,Dec 13 2021,0,6
Wyoming,Dec 12 2021,0,6
Wyoming,Dec 11 2021,0,6
Wyoming,Dec 10 2021,0,6
Wyoming,Dec  9 2021,0,6
Wyoming,Dec  8 2021,0,6
Wyoming,Dec  7 2021,44,6
